x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
1.105839,-5.340576E-05,24.80988,-41.99456,9.307861E-05,-99.11008,-5,0,-13.73739
0.8668495,-9.155273E-05,24.25954,-51.5829,0.0001861572,-116.9829,-4.970013,0,-13.13814
0.1256765,-0.0001220703,22.58108,-51.94563,0.0003160522,-116.2668,-4.786326,0,-11.31253
-0.4741863,-0.0001373291,21.26067,-49.03507,0.0004311854,-105.6303,-4.567546,0,-9.878838
-1.001376,-0.0001525879,20.13355,-46.57339,0.000507176,-97.21909,-4.316326,0,-8.660146
-1.327542,-0.0001831055,19.45428,-44.25048,0.0005825093,-90.04639,-4.125691,0,-7.93113
-1.687802,-0.0001983643,18.71809,-42.69913,0.0007056727,-85.73045,-3.876742,0,-7.150244
-1.994766,-0.0002212524,18.09937,-40.79867,0.000790284,-81.13119,-3.930962,-0.000311836,-7.838794
-2.207307,-0.00025177,17.66866,-39.92043,-3.734171E-05,-81.3364,-3.738255,-0.0003103699,-7.398845
-2.421251,-0.0002822876,17.23224,-38.39038,-5.811455E-05,-78.84276,-3.5199,-0.0003088874,-6.964615
-2.700372,-0.0003051758,16.65734,-11.43947,3.050474E-05,-24.34725,-3.194373,-0.0003068883,-6.39504
-3.172048,-0.0003356934,15.6647,-10.81907,2.757753E-05,-24.48406,-2.569723,-0.0003033802,-5.426478
-3.521762,-0.0003662109,14.91567,-30.2444,0.0001507615,-66.15469,-2.084763,-0.0003008674,-4.757027
-3.733231,-0.0003967285,14.4513,-27.91772,0.0002638892,-63.36459,-1.763356,-0.0002993188,-4.360722
-3.93762,-0.0004272461,13.98854,-25.83942,0.0003897882,-61.04718,-1.423705,-0.0002977863,-3.985807
-4.21417,-0.0004501343,13.3384,-23.68245,0.0005293288,-58.83023,-0.9213699,-0.0002956506,-3.488994
-4.471951,-0.0004730225,12.70061,-20.76136,0.0006596417,-55.70951,-0.4063638,-0.0002935761,-3.032929
-4.658999,-0.0004959106,12.2055,-17.74586,0.0007990529,-52.80218,0.008673386,-0.0002919843,-2.704489
-4.811838,-0.0005187988,11.76593,-15.11763,0.0009476592,-50.764,0.3890588,-0.0002905888,-2.436368
-4.962355,-0.000541687,11.28707,-12.59805,0.001105495,-49.10648,0.8147561,-0.0002890887,-2.170393
-5.142729,-0.0005645752,10.6499,-4.869524,0.0005441142,-26.67568,1.410094,-0.0002870654,-1.842954
-5.310197,-0.000579834,9.97084,-3.581378,0.0005585239,-27.00386,2.069661,-0.0002848959,-1.526719
-5.436626,-0.0005950928,9.292595,-2.63224,0.001430371,-41.10929,2.707483,-0.0002828583,-1.263684
-5.492921,-0.0006103516,8.820557,1.154289,0.001671466,-40.136,3.156429,-0.0002814608,-1.107353
-5.516876,-0.0006256104,8.303444,4.721788,0.00189421,-38.7733,3.654075,-0.0002799467,-0.9647653
-5.500148,-0.0006332397,7.817894,8.543647,0.002126588,-37.20128,4.12788,-0.0002785331,-0.8573052
-5.439529,-0.0006408691,7.327019,12.4139,0.002346339,-35.67058,4.6156,-0.0002771022,-0.7750575
-5.256595,-0.0006256104,6.504776,16.40176,0.002568696,-33.98014,4.031147,-0.0003336662,-1.381659
-5.032403,-0.0006103516,5.762604,16.98127,0.002546984,-33.06709,3.471012,-0.000387735,-1.917694
-4.838911,-0.0006027222,5.228447,16.81627,0.002471687,-32.11301,3.066205,-0.0004338741,-2.316305
-4.589844,-0.0005874634,4.616463,16.57996,0.002394955,-31.43648,2.643107,-0.0004939187,-2.823796
-4.373846,-0.000579834,4.1185,15.6546,0.00221819,-30.94258,2.353577,-0.0005542896,-3.282918
-4.045274,-0.0005569458,3.381874,14.75557,0.002018103,-30.80654,2.052083,-0.0006700718,-4.031034
-3.649732,-0.0005340576,2.482849,13.11696,0.001562683,-30.94943,2.499471,-0.0008747216,-4.905412
-3.459427,-0.000541687,2.04483,13.0852,0.0007485802,-31.16082,2.873835,-0.0008815966,-4.608886
-3.187421,-0.0005493164,1.428261,13.45945,0.0004565922,-29.25755,3.169242,-0.000829337,-4.003178
-2.977767,-0.0005645752,0.9744644,13.61559,0.0003668598,-25.75671,3.385211,-0.0007882261,-3.548068
-2.662494,-0.0005722046,0.3369141,13.93286,0.000333583,-22.84584,3.785427,-0.0007394635,-2.930154
-2.359736,-0.0005874634,-0.212677,14.45291,0.0003424593,-18.26036,4.324844,-0.0006964742,-2.507053
-2.142102,-0.0006103516,-0.5509033,15.4555,0.0003996751,-13.63806,4.785087,-0.0006851722,-2.397498
-1.826165,-0.0006256104,-0.955307,16.61797,0.0004289753,-9.92298,5.361974,-0.0007106662,-2.70441
-1.59834,-0.0006484985,-1.187523,17.97095,0.0003505463,-6.971836,5.639225,-0.0007540542,-3.052028
-1.310622,-0.0006713867,-1.416283,18.84395,0.0002342197,-4.644234,5.950674,-0.0009002992,-2.952276
-0.8845397,-0.0006942749,-1.664757,19.62683,-0.000205767,-1.12099,6.471138,-0.0008596616,-2.414888
-0.4415314,-0.0007171631,-1.824577,20.58214,-0.0001773372,3.974531,7.210707,-0.0007302766,-2.439525
-0.1356084,-0.0007476807,-1.871971,22.15934,0.0001652651,7.658482,7.501935,-0.0006948147,-2.824576
0.1777254,-0.0007781982,-1.8675,22.97493,0.000363859,9.976599,7.577128,-0.0007120025,-3.288493
0.5120779,-0.0008010864,-1.817337,23.05121,0.0004543697,11.60483,7.598325,-0.0008054334,-3.771108
0.8773369,-0.0008239746,-1.722778,22.66306,0.0003032603,12.64656,7.988935,-0.0008992733,-4.108176
1.601185,-0.0008468628,-1.471947,22.99211,9.830292E-05,13.55245,8.981425,-0.0009530247,-4.244251
2.157269,-0.000869751,-1.24231,23.98804,-3.931681E-05,14.22584,9.727607,-0.0008972255,-4.172578
2.754337,-0.0008926392,-0.9632721,24.88805,0.0001288541,15.26289,9.196681,-0.00068057,-4.746369
3.150442,-0.0009155273,-0.7614288,21.90475,0.0008388955,14.06371,8.953517,-0.0006656268,-5.210969
3.74416,-0.0009307861,-0.4396591,19.48032,0.001123744,12.75977,9.718958,-0.0008688322,-5.489621
4.276317,-0.0009460449,-0.1458054,18.92953,0.0007595367,11.1241,10.47436,-0.001000693,-5.500836
4.62065,-0.0009689331,0.04280853,18.59169,0.0004685943,9.903395,10.97693,-0.001014408,-5.538561
4.980907,-0.0009918213,0.2343903,18.16214,0.0004680965,8.676828,11.46331,-0.0009272462,-5.779398
5.482278,-0.00100708,0.4831772,17.68231,0.0007773969,6.648289,11.8735,-0.0007993234,-6.439426
5.964746,-0.001014709,0.6878891,16.56555,0.001268534,2.852906,12.01848,-0.0007812558,-7.201514
6.37038,-0.001022339,0.8140869,14.56786,0.001514412,-1.803626,11.69445,-0.0009179006,-7.810731
6.622049,-0.001037598,0.853302,11.06982,0.001315521,-6.490988,12.16331,-0.001260207,-7.86555
6.85525,-0.001052856,0.8439178,9.799277,0.0004262487,-9.800829,12.62959,-0.001260718,-7.734632
7.060647,-0.001068115,0.7877808,8.668797,0.0003172687,-12.47066,13.0978,-0.001070712,-7.66113
7.325545,-0.001083374,0.6420212,7.732911,0.0007910901,-15.0558,13.15796,-0.0007646671,-8.338615
7.55318,-0.001091003,0.4243393,5.518555,0.001767168,-19.51025,12.99634,-0.0007166032,-8.992223
7.691039,-0.001098633,0.2020035,2.528986,0.002187202,-24.05494,12.94106,-0.0008705094,-9.491126
7.839839,-0.001091003,-0.2129364,-0.2283465,0.002043191,-28.42651,13.55456,-0.001088629,-9.885126
7.909412,-0.001098633,-0.5509872,-1.224027,0.001550387,-32.07827,14.00551,-0.001151263,-10.06905
7.971073,-0.001098633,-1.115685,-2.182647,0.001401172,-35.28791,14.41619,-0.001054757,-10.62745
8.001399,-0.001091003,-1.796822,-3.014978,0.001664952,-38.78121,13.98413,-0.0009774842,-11.21478
7.992626,-0.001098633,-2.270103,-6.079656,0.00192014,-41.96266,13.62399,-0.0009687316,-11.52197
7.953275,-0.001106262,-2.753288,-9.187467,0.001990378,-43.3092,13.36235,-0.0009963239,-11.93009
7.889601,-0.001113892,-3.191025,-11.97653,0.00187186,-42.8526,13.55381,-0.001047138,-12.32884
7.795505,-0.001121521,-3.661537,-13.33027,0.001674101,-42.37485,13.94478,-0.001074863,-12.60702
7.621994,-0.001121521,-4.379692,-13.66747,0.001522939,-41.36699,14.54497,-0.001122153,-13.03787
7.431108,-0.001121521,-5.098709,-12.72537,0.001292347,-40.0639,14.11734,-0.001148807,-13.6466
7.297297,-0.00113678,-5.550926,-14.29608,0.001112436,-39.3719,13.72721,-0.001133372,-13.91156
7.145904,-0.001152039,-6.004501,-16.08202,0.001097709,-38.38853,13.52892,-0.001108343,-14.34668
6.928139,-0.001167297,-6.588997,-17.40173,0.001144851,-37.81942,13.71282,-0.001100391,-14.9427
6.659313,-0.001174927,-7.259369,-17.35262,0.001174941,-37.28984,14.01814,-0.001113667,-15.59725
6.293694,-0.001174927,-8.139069,-16.49056,0.001140525,-36.74131,14.23173,-0.001145778,-16.52565
5.875456,-0.001174927,-9.143623,-15.25367,0.001029386,-36.49279,13.99895,-0.001149272,-17.5886
5.55914,-0.001182556,-9.907951,-14.85414,0.0009876384,-36.39368,13.27922,-0.001132332,-17.99633
5.262472,-0.001190186,-10.60184,-16.13922,0.001031889,-35.08541,12.53478,-0.001119155,-18.12009
4.970728,-0.001197815,-11.23519,-17.9276,0.001088663,-32.97306,12.11368,-0.00111178,-18.67589
4.78019,-0.001213074,-11.61693,-19.18549,0.001150752,-32.1337,12.08114,-0.001106487,-19.1013
