x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
9.8023,-6.103516E-05,14.15166,-30.2979,9.307861E-05,-134.9481,0,0,-40
9.668157,-9.155273E-05,13.56686,-36.44727,0.0002063467,-157.034,-0.04267494,-2.015919E-06,-40.59848
9.209074,-0.0001220703,11.57481,-36.27987,0.000305064,-157.0151,-0.1859347,-1.536916E-05,-42.63773
8.961804,-0.0001525879,10.48494,-35.31781,0.0003740694,-157.0505,-0.2613313,-2.698335E-05,-43.75275
8.745752,-0.0001831055,9.515694,-34.6688,0.0004463213,-157.0945,-0.3090692,-4.321505E-05,-44.74464
8.412608,-0.0002059937,7.99308,-34.02079,0.0005043972,-157.1392,-0.3540802,-8.01686E-05,-46.30262
8.038435,-0.0002288818,6.237427,-33.00336,0.0004752355,-157.195,-0.3626398,-0.0001405797,-48.09768
7.830371,-0.0002593994,5.226181,-31.70727,0.0003646456,-157.2603,-0.3325286,-0.0001393296,-47.06569
7.637368,-0.000289917,4.399338,-8.685027,7.511796E-05,-26.75723,0.5308203,-0.0003285443,-47.05166
7.391492,-0.0003204346,3.462334,-9.209748,7.721342E-05,-25.57729,0.5601755,-0.0003256708,-46.04601
7.155884,-0.0003509521,2.65094,-9.522097,7.504415E-05,-24.71974,0.589747,-0.0003231086,-45.14943
6.512806,-0.0003738403,0.6151123,-8.378514,9.718644E-05,-19.95115,0.6784006,-0.000316224,-42.74075
6.22618,-0.0004043579,-0.2442474,-8.154406,0.0001088945,-20.42457,0.721899,-0.0003131697,-41.67236
6.013493,-0.0004348755,-0.8535461,-8.252448,0.0001177097,-20.42213,0.7570694,-0.000310918,-40.88486
5.871511,-0.0004653931,-1.376747,-23.86206,0.0004890296,-107.8481,0.7834063,-0.0003093694,-40.34338
5.739476,-0.0004959106,-1.934891,-23.09111,0.0006178604,-110.3936,0.8135546,-0.000307731,-39.77063
5.519753,-0.0005187988,-2.945694,-21.6256,0.0007369572,-107.2158,0.8720703,-0.000304776,-38.73787
5.304229,-0.000541687,-3.858986,-6.739158,0.0002307253,-21.62162,0.9326965,-0.0003019185,-37.73946
5.126377,-0.0005645752,-4.549423,-6.866475,0.0002431895,-19.76315,0.9852748,-0.0002995965,-36.9284
4.922837,-0.0005874634,-5.271088,-6.876186,0.0001535478,-17.75255,1.04852,-0.0002969703,-36.01133
4.692397,-0.0006103516,-6.02581,-7.204931,0.0002551715,-18.20761,1.122865,-0.0002940584,-34.99487
4.376454,-0.0006332397,-6.993301,-7.077206,0.0002219502,-17.33975,1.229488,-0.0002901089,-33.61665
4.227332,-0.0006561279,-7.406158,-7.926552,0.000154243,-15.90491,1.280587,-0.0002883147,-32.99077
3.926999,-0.0006713867,-8.378044,-15.67964,0.001333026,-60.73011,1.367702,-0.0002854081,-31.97728
3.727666,-0.0006866455,-9.075256,-16.214,0.001651289,-63.66631,1.432927,-0.0002833361,-31.25507
3.578293,-0.0007019043,-9.627464,-14.77808,0.001828385,-59.55696,1.486863,-0.0002817015,-30.68557
3.392251,-0.0007095337,-10.3429,-13.72618,0.002005513,-56.28131,1.559786,-0.0002795891,-29.94994
3.217909,-0.0007171631,-11.03005,-12.63501,0.002163927,-51.96983,1.571941,-0.0002978483,-30.65876
3.002843,-0.0007171631,-11.91092,-11.87302,0.002272293,-52.0471,1.5873,-0.0003214898,-31.56537
2.829071,-0.0007247925,-12.66339,-10.88733,0.002312564,-52.14803,1.604278,-0.0003430501,-32.33746
2.6979,-0.0007324219,-13.17399,-7.31431,0.001084543,-19.60958,1.620477,-0.0003601593,-32.90825
2.506239,-0.0007400513,-13.83891,-7.581017,0.001060422,-17.54817,1.715291,-0.00035725,-32.0998
2.317808,-0.0007476807,-14.41607,-7.938689,0.001036387,-15.70516,1.809039,-0.0003544754,-31.32925
2.128181,-0.0007476807,-14.92418,-8.331686,0.001011459,-13.94794,1.903361,-0.0003517803,-30.58118
1.989768,-0.0007629395,-15.34426,-7.593542,0.002305626,-31.09102,1.974491,-0.0003498161,-30.03632
1.866269,-0.0007629395,-15.75997,-6.94878,0.002664329,-30.89684,1.97832,-0.0003679359,-30.53665
1.749713,-0.0007705688,-16.19968,-6.387182,0.002929349,-33.12341,1.977938,-0.0003860967,-31.02566
1.584062,-0.0007476807,-16.90729,-5.757028,0.003203926,-35.30195,1.975857,-0.0004155042,-31.75624
1.456918,-0.0007247925,-17.53355,-4.888307,0.00334388,-37.42046,1.972377,-0.0004434092,-32.39526
1.372192,-0.0007171631,-18.02853,-3.656386,0.00330474,-37.77425,1.966664,-0.000467322,-32.89741
1.301986,-0.0007019043,-18.53173,-2.48636,0.003268295,-37.94413,1.957052,-0.0004941591,-33.40539
1.24266,-0.0006866455,-19.07863,-1.363722,0.003172479,-38.07905,2.042281,-0.0004914724,-32.86193
1.203366,-0.0006713867,-19.58235,0.004310787,0.003131908,-34.89703,2.122702,-0.0004890046,-32.36312
1.166964,-0.0006332397,-20.35804,1.288976,0.003146186,-31.952,2.249613,-0.0004852116,-31.59702
1.158188,-0.0006027222,-21.04857,2.728775,0.003146044,-27.34946,2.368142,-0.0004817596,-30.90031
1.170444,-0.0005874634,-21.49259,4.166163,0.003182258,-22.50267,2.451141,-0.000479403,-30.42505
1.219379,-0.0005493164,-22.1237,5.533699,0.003241045,-18.02403,2.583577,-0.0004757349,-29.68591
1.274166,-0.0005340576,-22.49487,6.995877,0.003224089,-11.48923,2.675967,-0.0004732377,-29.18313
1.385583,-0.0004882813,-22.93212,8.387372,0.003247094,-5.421779,2.813216,-0.0004696158,-28.45453
1.525768,-0.0004425049,-23.23835,9.773526,0.003170633,2.183647,2.950065,-0.0004660884,-27.74558
1.642902,-0.0004196167,-23.353,11.094,0.003061699,10.20924,3.045506,-0.0004636847,-27.26291
1.817127,-0.0003967285,-23.36968,12.36158,0.002986945,17.73576,3.168295,-0.0004606617,-26.65643
2.027804,-0.0003585815,-23.24307,13.52462,0.002898399,25.78315,3.300297,-0.0004574837,-26.01948
2.295174,-0.0003204346,-22.9283,14.56862,0.002748594,33.9513,3.452539,-0.0004538981,-25.30154
2.571876,-0.0002822876,-22.46493,15.44406,0.002573309,42.16848,3.598477,-0.0004505347,-24.62876
2.77199,-0.0002746582,-22.04197,16.18769,0.002370958,50.09416,3.699811,-0.0004482486,-24.17195
2.962499,-0.0002746582,-21.56385,16.67461,0.002177446,57.09521,3.813637,-0.000445734,-23.67002
3.120429,-0.0002822876,-21.09872,14.73037,0.001559936,57.8891,3.924539,-0.000443334,-23.19149
3.248682,-0.0002975464,-20.66087,13.1433,0.001084518,58.43911,4.029665,-0.0004411048,-22.74751
3.427853,-0.0003051758,-19.96112,11.87608,0.0007355611,58.81379,4.199456,-0.0004375758,-22.04543
3.569787,-0.0003204346,-19.3358,10.86852,0.0004567206,59.05276,4.35319,-0.0004344429,-21.4229
3.664445,-0.0003433228,-18.87266,10.11668,0.0002686976,59.20139,4.468752,-0.0004321334,-20.96453
3.75246,-0.0003738403,-18.40211,9.562494,0.0001612748,59.2952,4.588044,-0.0004297946,-20.50092
3.876338,-0.0003967285,-17.69046,9.181337,0.0001293528,59.34171,4.771486,-0.0004262655,-19.80224
3.99728,-0.0004272461,-16.95803,9.003675,0.0001241716,59.32876,4.963556,-0.0004226389,-19.08517
4.105239,-0.0004577637,-16.2817,8.974767,0.0001757864,59.28416,5.144063,-0.000419293,-18.42449
4.173369,-0.0004882813,-15.84746,9.049175,0.0002578536,59.22358,5.262043,-0.0004171458,-18.00107
4.242472,-0.0005187988,-15.40421,9.137231,0.0003611972,59.17623,5.164423,-0.000438204,-18.43892
4.315413,-0.0005493164,-14.93251,8.625672,0.0004141096,56.50948,5.297029,-0.0004357677,-17.98041
4.394906,-0.000579834,-14.41973,8.78516,0.0005420539,56.44619,5.443714,-0.0004331191,-17.48267
4.509379,-0.0006027222,-13.69026,9.014815,0.0006860691,56.36776,5.656049,-0.0004293504,-16.77546
4.624774,-0.0006256104,-12.9723,9.378483,0.0008229262,56.24991,5.86873,-0.0004256392,-16.08008
4.702754,-0.0006484985,-12.50273,9.795068,0.0009660253,56.12273,6.010303,-0.0004232101,-15.62562
4.779482,-0.0006713867,-12.05653,10.15674,0.001110525,56.02257,6.147211,-0.0004208998,-15.19407
4.857734,-0.0006942749,-11.61749,10.52356,0.001258153,55.92143,6.284289,-0.0004186243,-14.7697
4.949355,-0.0007171631,-11.1217,10.89665,0.001408475,55.81762,6.441788,-0.000416052,-14.29075
5.084389,-0.0007324219,-10.41753,11.29791,0.001561982,55.70184,6.669372,-0.0004123943,-13.61083
5.277528,-0.0007400513,-9.450142,11.7877,0.001697583,55.55005,6.987486,-0.0004073624,-12.67704
5.370733,-0.0007553101,-9.004242,12.39718,0.001811785,55.3505,7.136714,-0.000405039,-12.24664
5.520102,-0.0007629395,-8.319435,12.84566,0.001935528,55.22098,7.369922,-0.0004014646,-11.58567
5.635165,-0.0007781982,-7.813911,13.36534,0.00203807,55.05401,7.545103,-0.000398821,-11.0977
5.797655,-0.0007858276,-7.128044,13.82519,0.002155856,54.91022,7.786925,-0.0003952274,-10.43563
5.968295,-0.000793457,-6.435814,14.33344,0.002253067,54.73773,8.035253,-0.0003915931,-9.767315
6.100251,-0.0008010864,-5.921005,14.84274,0.002346211,54.56047,8.223158,-0.0003888845,-9.270193
6.226556,-0.0008087158,-5.445885,15.293,0.002433199,54.40706,8.39958,-0.0003863792,-8.811317
6.356712,-0.0008239746,-4.972565,15.716,0.002516161,54.2599,8.578347,-0.0003838782,-8.354132
6.498563,-0.000831604,-4.472733,16.12248,0.002619456,54.11385,8.770327,-0.0003812315,-7.87133
6.682487,-0.0008392334,-3.843697,16.52237,0.002702306,53.96442,9.015995,-0.0003778937,-7.263741
6.887495,-0.0008392334,-3.162788,16.94736,0.002784542,53.79536,9.286382,-0.000374273,-6.606052
7.021308,-0.0008468628,-2.731071,17.38321,0.002842682,53.616,9.460694,-0.0003719721,-6.189034
7.163965,-0.0008544922,-2.28302,17.75112,0.002914214,53.47161,9.644596,-0.000369579,-5.756275
7.315515,-0.0008621216,-1.818878,18.10788,0.002984979,53.32657,9.838223,-0.0003670947,-5.308052
7.472637,-0.000869751,-1.348999,18.45662,0.003055249,53.18019,10.03742,-0.0003645744,-4.854408
7.710762,-0.0008621216,-0.6528778,18.79737,0.00312508,53.03335,10.33727,-0.000360833,-4.18256
7.933748,-0.0008544922,-0.01596069,19.18673,0.003151629,52.85155,10.61604,-0.0003574024,-3.568005
8.169853,-0.0008468628,0.6430435,19.56619,0.003168294,52.67432,10.90913,-0.0003538447,-2.932289
8.35544,-0.0008468628,1.149261,19.95076,0.003177765,52.49071,11.13789,-0.0003511055,-2.444065
8.54245,-0.0008468628,1.64827,20.299,0.003201935,52.32792,11.36701,-0.000348399,-1.962933
8.805943,-0.0008392334,2.336723,20.63742,0.003225148,52.16643,11.68812,-0.0003446565,-1.299397
9.052378,-0.000831604,2.967049,21.01258,0.003227478,51.97491,11.98679,-0.0003412218,-0.6920815
9.241007,-0.000831604,3.439453,21.37729,0.0032243,51.78847,12.2142,-0.0003386413,-0.237072
9.415895,-0.0008392334,3.868767,21.70511,0.003237828,51.62477,12.42411,-0.0003362907,0.1762428
9.596467,-0.0008392334,4.303734,22.01445,0.003274786,51.46887,12.27483,-0.0003734413,-0.2704315
9.979636,-0.0008087158,5.210236,21.22008,0.003175285,48.71775,12.73087,-0.0003679429,0.6016922
10.26655,-0.000793457,5.875557,21.61701,0.00311981,48.48616,13.0708,-0.0003638968,1.24155
10.65281,-0.0007705688,6.75325,21.98082,0.003087709,48.28262,13.52628,-0.0003585444,2.0854
10.87882,-0.0007705688,7.255829,22.39362,0.003029121,48.03915,13.79127,-0.0003554702,2.568562
11.17198,-0.0007629395,7.894409,22.73861,0.003023615,47.84912,14.13332,-0.0003515524,3.18235
11.61616,-0.0007324219,8.842239,23.10302,0.003001972,47.63712,14.64909,-0.0003457193,4.093201
11.97161,-0.0007171631,9.584404,23.52861,0.002915878,47.37072,15.05952,-0.0003411363,4.806431
12.18102,-0.0007247925,10.01223,23.92382,0.002859024,47.12941,15.29999,-0.0003384851,5.217602
12.37109,-0.0007324219,10.39277,24.2565,0.002863602,46.93723,15.51732,-0.0003361191,5.583256
12.5761,-0.0007324219,10.79552,24.56504,0.002878357,46.75703,15.75098,-0.0003336071,5.970081
12.87232,-0.0007247925,11.36726,24.86318,0.002879342,46.57738,16.08785,-0.0003300303,6.518856
13.14948,-0.0007171631,11.89289,25.18204,0.002863095,46.37165,16.40237,-0.0003267319,7.023014
13.35973,-0.0007171631,12.28489,25.49083,0.002844313,46.17147,16.64057,-0.0003242648,7.398689
13.57231,-0.0007171631,12.67481,25.77155,0.002844669,45.99325,16.88112,-0.0003218035,7.771996
13.76424,-0.0007247925,13.02144,26.04365,0.002847899,45.81713,17.0982,-0.0003196094,8.103455
14.06635,-0.0007171631,13.55906,26.3011,0.002876029,45.64982,17.43988,-0.0003161974,8.616829
14.36765,-0.0007095337,14.08728,26.58851,0.002868017,45.44854,17.78061,-0.0003128358,9.120518
14.6553,-0.0007095337,14.58401,26.87826,0.002856657,45.24385,18.10582,-0.0003096655,9.593513
14.8611,-0.0007171631,14.93407,27.16532,0.002865266,45.04029,18.33843,-0.000307425,9.926357
15.06974,-0.0007247925,15.28387,27.4249,0.002896812,44.86166,18.57431,-0.0003051798,10.2584
15.2841,-0.0007324219,15.63825,27.67923,0.002934637,44.68363,18.81677,-0.0003028992,10.59418
15.49666,-0.0007400513,15.98488,27.93084,0.002977853,44.50435,18.62842,-0.0003386585,10.23383
15.7319,-0.0007400513,16.36343,26.89189,0.002911433,42.2611,18.8945,-0.0003359403,10.59137
16.07363,-0.0007247925,16.90602,27.14336,0.002945891,42.07506,19.2813,-0.0003320337,11.10281
16.38156,-0.0007247925,17.38794,27.43414,0.002935609,41.84779,19.62984,-0.0003285535,11.55622
16.61028,-0.0007324219,17.74059,27.72429,0.002960019,41.62305,19.88863,-0.0003259987,11.88742
16.93987,-0.0007247925,18.24131,27.99327,0.003005511,41.42015,20.26147,-0.0003223596,12.35684
17.15478,-0.0007324219,18.56281,28.29529,0.0030125,41.17942,20.50441,-0.000320015,12.65772
17.39707,-0.0007400513,18.91986,28.56489,0.003057111,40.97293,20.29246,-0.0003588742,12.28186
17.76237,-0.0007324219,19.45009,27.38263,0.002982774,38.62841,20.70426,-0.0003545427,12.77684
18.10099,-0.0007247925,19.93369,27.6969,0.003002787,38.36597,21.08549,-0.0003505767,13.22762
18.33545,-0.0007324219,20.26294,28.01329,0.003016063,38.10252,21.349,-0.0003478652,13.5341
18.56637,-0.0007324219,20.58183,28.30237,0.003066897,37.86893,21.60813,-0.0003452278,13.83053
18.82008,-0.0007324219,20.92645,28.58699,0.00309887,37.63582,21.89242,-0.0003423655,14.15039
19.17189,-0.0007171631,21.39651,28.87519,0.003130427,37.39387,22.28609,-0.0003384445,14.58599
19.54823,-0.0007019043,21.89079,29.19184,0.00311785,37.11448,22.70647,-0.0003343023,15.0434
19.92069,-0.0006942749,22.37132,29.52101,0.003095923,36.81869,23.12163,-0.0003302554,15.48754
20.19477,-0.0006866455,22.71848,29.85406,0.00308839,36.51643,23.42642,-0.0003273162,15.80808
20.44563,-0.0006866455,23.0305,30.16175,0.003075023,36.24262,23.70478,-0.0003246604,16.09584
20.71803,-0.0006866455,23.36333,30.45779,0.003080997,35.97703,24.00646,-0.0003218127,16.40236
20.98792,-0.0006866455,23.68734,30.75315,0.003089721,35.70521,24.30486,-0.0003190257,16.70033
21.27188,-0.0006942749,24.02238,31.04318,0.00310032,35.43411,24.61833,-0.0003161287,17.00793
21.68028,-0.0006942749,24.49599,31.33226,0.003136275,35.15798,25.06852,-0.0003120117,17.44199
22.06379,-0.0006866455,24.93282,31.64983,0.003159337,34.83746,25.49054,-0.0003081926,17.84173
22.34422,-0.0006790161,25.24642,31.96527,0.003159992,34.51744,25.2671,-0.0003414453,17.48528
22.62542,-0.0006790161,25.55473,30.66207,0.003045631,32.29841,25.04268,-0.0003739201,17.13349
22.91972,-0.0006790161,25.87051,29.36872,0.002965837,30.0922,25.36253,-0.0003705589,17.42335
23.20438,-0.0006790161,26.16943,29.68557,0.003007833,29.76791,25.67082,-0.0003673517,17.69783
