x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
-8.639315,-6.866455E-05,-13.79462,26.75797,9.307861E-05,73.18971,-8.660254,0,-4.999999
-8.439775,-9.918213E-05,-13.22877,33.061,0.0002326965,95.77097,-9.164821,-3.927942E-06,-5.324673
-7.859327,-0.0001220703,-11.52896,34.24777,0.0003475279,103.0659,-10.67564,-2.85616E-05,-6.296103
-7.317808,-0.0001449585,-9.809669,27.68428,0.0003648697,95.06499,-12.19975,-7.084823E-05,-7.258554
-6.928204,-0.0001678467,-8.400696,20.79977,0.0003247695,87.15736,-12.12998,-6.990985E-05,-5.798374
-6.70891,-0.0001983643,-7.507957,18.82529,0.0004042143,87.54084,-12.08247,-6.931982E-05,-4.880322
-6.537071,-0.0002212524,-6.735069,17.4816,0.000515778,87.79066,-12.03838,-6.881171E-05,-4.089787
-6.421072,-0.00025177,-6.168564,16.46586,0.0006141401,87.95541,-12.00386,-6.844066E-05,-3.512556
-6.323115,-0.0002822876,-5.657776,15.74415,0.0007383403,88.0639,-11.70023,-0.0001043527,-3.934819
-6.233212,-0.0003128052,-5.184006,16.0103,0.0007595085,85.31134,-11.66904,-0.0001038828,-3.453606
-6.087566,-0.0003356934,-4.407135,15.79388,0.0008789924,85.32011,-11.23067,-0.0001741559,-4.111309
-5.939176,-0.0003585815,-3.681953,8.784439,0.0002591501,35.5173,-11.18014,-0.000172954,-3.372827
-5.784916,-0.0003814697,-2.983292,9.264867,0.0002374756,35.50415,-11.12841,-0.0001717924,-2.659212
-5.666173,-0.0004119873,-2.480301,9.716627,0.000214979,35.47153,-11.08895,-0.0001709534,-2.143902
-5.535101,-0.0004425049,-1.957275,10.14669,0.0001930808,35.41105,-11.04556,-0.0001700781,-1.606448
-5.342624,-0.0004653931,-1.229332,10.55095,0.0001711383,35.34338,-10.98189,-0.000168856,-0.8561874
-5.14741,-0.0004882813,-0.5256042,10.71532,0.0001808611,34.55512,-10.91711,-0.0001676708,-0.1287614
-5.0133,-0.0005187988,-0.06247711,11.03973,0.0001724481,34.47647,-10.87233,-0.0001668883,0.3513092
-4.849278,-0.0005493164,0.4836502,11.28158,0.0001617441,34.466,-10.817,-0.0001659631,0.9188427
