x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
-6.6596,-6.103516E-05,9.166153,-0.440839,8.953192E-05,0.6067684,-6.657396,0,9.163118
-6.627606,-8.392334E-05,9.166855,6.729384,0.0003645402,-0.3157193,-6.057396,1.44E-05,9.163118
-6.044684,-6.866455E-05,9.153969,10.1417,0.0009270885,-0.434713,-1.375527,0.0003901653,9.163118
-5.708365,5.340576E-05,9.146812,24.54489,0.01495735,-0.5127986,-0.2466418,0.002787944,9.163118
-5.302467,0.0003128052,9.138763,32.1082,0.02982818,-0.5985341,-1.073304,0.002866715,9.163118
-4.773866,0.0007553101,9.128288,34.18287,0.03938153,-0.6760904,-1.882659,0.002603714,9.163118
-4.058562,0.001495361,9.113762,35.00572,0.04842774,-0.7401094,-2.797896,0.002301526,9.163117
-3.067992,0.002738953,9.092743,33.9314,0.05788797,-0.783788,-3.937893,0.002152645,9.163117
-2.314456,0.003883362,9.075661,30.11139,0.06864108,-0.7965854,-3.103076,0.006997812,9.163117
-1.503758,0.005439758,9.056595,31.32846,0.09393701,-0.8053631,-2.238846,0.0127606,9.163117
-0.6954767,0.007423401,9.037376,32.51097,0.1254769,-0.7950654,-1.409397,0.01909521,9.163117
0.03570825,0.009689331,9.020172,33.62652,0.1622424,-0.7697647,-0.6780336,0.02541254,9.163117
0.7477104,0.01242828,9.003876,34.34846,0.201408,-0.7279462,0.03412798,0.03223271,9.163117
1.368717,0.01535797,8.990295,34.3137,0.242079,-0.6588657,0.6552556,0.03878201,9.163117
2.217731,0.02020264,8.972839,34.28357,0.2844335,-0.5869473,1.504407,0.04848779,9.163117
2.992366,0.02548981,8.958221,34.24219,0.3358286,-0.4944278,2.279137,0.05833704,9.163117
3.756995,0.03166962,8.945313,34.2045,0.3903843,-0.3992633,3.043825,0.0690045,9.163117
4.377648,0.03754425,8.936218,34.1672,0.4488882,-0.300432,3.664501,0.07846054,9.163117
5.01412,0.04449463,8.928398,34.1369,0.5073244,-0.2058744,4.300974,0.08884962,9.163117
5.533978,0.05097961,8.923302,34.10556,0.5684618,-0.1108355,4.820818,0.09793829,9.163117
6.373986,0.06284332,8.917191,34.07977,0.6287125,-0.02078724,5.660789,0.113447,9.163117
7.144862,0.07507324,8.913582,34.03761,0.6975066,0.07360259,6.431615,0.1289565,9.163117
7.681228,0.08455658,8.91246,33.99855,0.7681466,0.1623267,6.96794,0.140601,9.163117
8.525817,0.1010971,8.912834,33.97092,0.8358661,0.2435748,7.812471,0.1599033,9.163117
9.274074,0.1172256,8.915001,33.92746,0.9106393,0.3185782,8.560676,0.1784101,9.163117
10.14181,0.1377182,8.919525,33.88849,0.9862105,0.3854212,9.428362,0.2013768,9.163117
10.92093,0.1577835,8.925255,33.8432,1.066122,0.4411852,10.20745,0.2236345,9.163117
11.6896,0.1792908,8.932396,33.80206,1.147118,0.4878149,10.9761,0.2471026,9.163117
12.71811,0.210434,8.943695,33.7612,1.22983,0.5239934,12.00459,0.280572,9.163117
13.78666,0.2453766,8.956909,33.70711,1.319664,0.5405226,13.07312,0.3183559,9.163117
14.6284,0.275032,8.96817,33.65074,1.415529,0.5414499,13.91485,0.3507083,9.163117
15.41615,0.3048706,8.979271,33.60548,1.512088,0.5374876,14.70258,0.3829716,9.163117
16.18256,0.3359909,8.990395,33.56273,1.610357,0.5249186,15.46898,0.4162344,9.163117
17.04279,0.3733521,9.002998,33.52085,1.710366,0.5035726,16.32921,0.4556848,9.163117
17.78387,0.407692,9.013725,33.47407,1.814346,0.4692433,17.07028,0.4917899,9.163117
18.38468,0.4373169,9.022171,33.43301,1.918535,0.4313335,17.6711,0.5225899,9.163117
18.90331,0.4644547,9.029137,33.39876,2.020947,0.3927057,18.18975,0.550275,9.163117
19.47247,0.4959641,9.036339,33.36843,2.121289,0.3527914,18.75896,0.5817217,9.163117
20.36997,0.5483856,9.046867,33.33542,2.220973,0.3075919,19.65658,0.6331923,9.163117
21.16953,0.5975418,9.055321,33.28585,2.32378,0.2476315,20.45621,0.681775,9.163117
22.0151,0.6521606,9.063133,33.24078,2.427442,0.1870741,21.30186,0.7358091,9.163117
22.77409,0.7035751,9.069008,33.19302,2.533137,0.1232355,22.0609,0.7869114,9.163117
23.60408,0.7624512,9.074112,33.14913,2.639683,0.06066629,22.89093,0.8454255,9.163117
