x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
0,-6.103516E-05,-17.49563,0,9.307861E-05,0.875,0,0,-17.5
0.0325,-9.155273E-05,-17.48695,6.5,0.0003654269,1.080416,0.6,1.44E-05,-17.5
0.4831406,-9.155273E-05,-17.40811,9.825874,0.0009512448,1.269352,4.27848,0.0003096336,-17.5
0.835112,0,-17.37389,21.53708,0.01046149,1.237703,5.575562,0.002149886,-17.5
1.306541,0.0002441406,-17.34151,28.82027,0.02262363,1.282001,4.513033,0.002231314,-17.5
1.773963,0.000579834,-17.3142,29.36473,0.03134588,1.305833,3.703603,0.001999345,-17.5
2.356124,0.001121521,-17.28308,29.52433,0.03918223,1.320449,2.846398,0.001726201,-17.5
2.993943,0.001861572,-17.25046,28.22717,0.04738925,1.302611,3.703005,0.005160111,-17.5
3.590248,0.002731323,-17.22191,30.8149,0.06699161,1.256459,4.434457,0.008639628,-17.5
4.168015,0.00378418,-17.1964,33.30988,0.08915962,1.197858,5.084352,0.01218222,-17.5
4.962791,0.005561829,-17.16439,35.71064,0.11376,1.12675,5.908503,0.01721872,-17.5
5.803802,0.007843018,-17.134,38.01917,0.1449936,1.016386,6.750045,0.0231211,-17.5
6.309536,0.009483337,-17.11794,39.0288,0.1782799,0.8423517,7.256021,0.02717283,-17.5
6.962809,0.01199341,-17.10014,39.00866,0.2058291,0.6614071,7.909516,0.03281641,-17.5
7.747155,0.01554108,-17.08234,38.98054,0.2382802,0.4731191,8.694038,0.0402614,-17.5
8.771816,0.02097321,-17.06387,38.94518,0.2765034,0.281746,9.718823,0.05110129,-17.5
9.824695,0.0275116,-17.04992,38.89702,0.3246143,0.08539903,10.77174,0.06384774,-17.5
10.35984,0.03139496,-17.04539,38.84654,0.3802865,-0.1003939,11.30686,0.07123065,-17.5
11.00194,0.03678131,-17.04287,38.82104,0.4280209,-0.2573879,11.94892,0.08066535,-17.5
11.82536,0.0446701,-17.04318,38.78937,0.4801026,-0.4016067,12.77227,0.09368764,-17.5
12.62446,0.05335999,-17.04668,38.74788,0.5396281,-0.5296338,13.57132,0.1075335,-17.5
13.18488,0.06022644,-17.05119,38.70701,0.602515,-0.6389472,14.13169,0.1181073,-17.5
13.96054,0.07086182,-17.05997,38.67767,0.6617274,-0.7346372,14.90732,0.1336119,-17.5
14.47183,0.07863617,-17.06723,38.63723,0.7283242,-0.8067343,15.41861,0.1446597,-17.5
15.34119,0.09323883,-17.08176,38.60984,0.7899419,-0.8706661,16.28798,0.1644022,-17.5
16.27747,0.1105194,-17.09927,38.56446,0.862308,-0.9015863,17.2243,0.1874959,-17.5
17.03374,0.125824,-17.11452,38.51575,0.9409944,-0.9081929,17.98061,0.2078229,-17.5
17.76301,0.1419373,-17.12997,38.47609,1.019043,-0.9054564,18.70992,0.2287816,-17.5
18.59031,0.1618195,-17.14796,38.43788,1.098882,-0.8885595,19.53726,0.2540986,-17.5
19.47863,0.184967,-17.1674,38.39486,1.184218,-0.8510585,20.42563,0.283236,-17.5
20.15505,0.2040253,-17.18198,38.34884,1.275248,-0.7954054,21.10205,0.307087,-17.5
20.74689,0.2220078,-17.19434,38.31343,1.363347,-0.7407323,21.69388,0.3291028,-17.5
21.74599,0.2546005,-17.21429,38.28223,1.449768,-0.6832519,22.69295,0.3680103,-17.5
22.48982,0.2806015,-17.22818,38.23051,1.550088,-0.5952057,23.43671,0.3992575,-17.5
23.33317,0.3121414,-17.24261,38.19136,1.647663,-0.5134264,24.27995,0.4366792,-17.5
24.00541,0.3389664,-17.2529,38.1469,1.751048,-0.4227756,24.95205,0.4683746,-17.5
24.84822,0.3747787,-17.26418,38.11071,1.851851,-0.337583,25.79468,0.5100354,-17.5
25.70553,0.4134903,-17.2739,38.06548,1.959975,-0.2455567,26.65174,0.5549471,-17.5
26.23973,0.4390793,-17.27879,38.01895,2.072524,-0.1540415,27.18576,0.5845964,-17.5
26.82681,0.4688263,-17.28292,37.98837,2.176513,-0.07428151,27.77263,0.6183482,-17.5
27.36026,0.497345,-17.28555,37.9547,2.281354,0.002500236,28.30591,0.6502113,-17.5
28.2593,0.5479202,-17.28814,37.92338,2.38368,0.07358056,29.20465,0.7057796,-17.5
29.08446,0.5966949,-17.28889,37.873,2.49711,0.1424748,30.02949,0.7597621,-17.5
29.63481,0.6308365,-17.28837,37.82571,2.612788,0.2037963,30.5796,0.7976512,-17.5
30.26096,0.671524,-17.28668,37.79197,2.721681,0.2580888,31.20549,0.8422244,-17.5
30.94918,0.7182846,-17.28373,37.75401,2.832401,0.3050253,31.89342,0.8930904,-17.5
31.73128,0.7737656,-17.27926,37.71248,2.945545,0.3437095,32.67519,0.9532951,-17.5
32.42502,0.8250961,-17.27444,37.66567,3.063495,0.372762,33.3686,1.009183,-17.5
33.26357,0.8897552,-17.26773,37.62289,3.181421,0.39499,34.20673,1.079475,-17.5
33.86189,0.9378052,-17.26245,37.57211,3.306925,0.4058276,34.80469,1.132055,-17.5
34.52379,0.993103,-17.25618,37.53315,3.427526,0.4143955,35.4662,1.192188,-17.5
35.36901,1.066498,-17.24777,37.49054,3.551147,0.414727,36.3109,1.27181,-17.5
36.07476,1.130173,-17.24059,37.43787,3.684148,0.4029494,37.01613,1.341399,-17.5
36.52689,1.172531,-17.23595,37.39167,3.81697,0.3881319,37.4679,1.387687,-17.5
37.10898,1.22908,-17.23003,37.35826,3.940993,0.3756119,38.04958,1.448717,-17.5
37.87072,1.30574,-17.22241,37.31783,4.068704,0.3557684,38.81076,1.531043,-17.5
38.56186,1.377754,-17.21576,37.26754,4.204403,0.3266975,39.50132,1.608727,-17.5
39.53583,1.482803,-17.20686,37.22013,4.341326,0.2955214,40.4744,1.722116,-17.5
40.26652,1.564407,-17.20068,37.15689,4.494586,0.2534383,41.20422,1.811436,-17.5
41.16076,1.667824,-17.19382,37.10501,4.646648,0.2142196,42.09729,1.924765,-17.5
42.09628,1.779907,-17.1875,37.04307,4.812609,0.1697394,43.03135,2.0486,-17.5
42.82117,1.869965,-17.18333,36.97697,4.991327,0.1233937,43.7549,2.148962,-17.5
43.25735,1.926147,-17.18127,36.92045,5.168555,0.0806852,44.19024,2.211463,-17.5
