x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
-12.1276,-6.103516E-05,-7.001877,-0.649519,8.991786E-05,-0.3749957,-12.12436,0,-6.999999
-12.09527,-9.155273E-05,-7.001976,6.953743,0.0003646367,0.2619797,-11.52436,1.44E-05,-6.999999
-11.57616,-7.629395E-05,-6.99054,10.43416,0.0009504546,0.3512144,-7.44864,0.0003415156,-6.999999
-11.25008,1.525879E-05,-6.984367,23.28238,0.01212,0.4053409,-6.322463,0.00223346,-6.999999
-10.83997,0.0002365112,-6.977409,30.5317,0.02444932,0.4668033,-7.192079,0.002302344,-7.000072
-10.48904,0.0004730225,-6.971573,32.13338,0.03282053,0.5209437,-7.756757,0.002141917,-7.000091
-10.07982,0.0008239746,-6.964722,33.86542,0.04019257,0.5733062,-8.303621,0.001973071,-7.000063
-9.204071,0.001739502,-6.949745,34.78201,0.04761227,0.6182494,-9.332594,0.001761855,-6.99988
-8.395977,0.002738953,-6.935303,32.1072,0.05627714,0.633672,-8.440544,0.005764813,-6.999881
-7.598263,0.003967285,-6.920822,33.96231,0.07758594,0.6388901,-7.611698,0.01016603,-6.999882
-6.95219,0.005195618,-6.90918,35.71233,0.1029669,0.6329802,-6.965531,0.01413605,-6.999882
-5.940948,0.007598877,-6.891342,36.80262,0.1286813,0.6140922,-5.954153,0.02105269,-6.999883
-5.107005,0.01005554,-6.877296,36.75263,0.1628251,0.5480076,-5.120113,0.02774347,-6.999884
-4.495046,0.01228333,-6.867653,36.71157,0.199492,0.4814465,-4.5081,0.03329654,-6.999885
-3.644782,0.0160675,-6.855316,36.68158,0.2355636,0.4195946,-3.657779,0.04170392,-6.999886
-2.622688,0.02156067,-6.841995,36.63969,0.2802009,0.3443872,-2.635646,0.05303932,-6.999887
-1.590706,0.0282135,-6.830322,36.58915,0.3342413,0.2593808,-1.60366,0.06608759,-6.999887
-1.057049,0.03231049,-6.825302,36.53797,0.3955321,0.1722394,-1.070018,0.07373417,-6.999888
-0.4874422,0.03742981,-6.821045,36.51155,0.4490172,0.09975019,-0.5004377,0.08241373,-6.999888
0.3862138,0.04651642,-6.816193,36.48312,0.5049012,0.02895877,0.3731642,0.0966055,-6.999889
1.239056,0.05667114,-6.813118,36.43921,0.5707239,-0.04371566,1.225937,0.1118437,-6.99989
2.091016,0.06819916,-6.811684,36.39608,0.6404088,-0.1114734,2.077813,0.128488,-6.999891
2.604313,0.07603455,-6.811775,36.35271,0.7141714,-0.1734635,2.591054,0.1394153,-6.999891
3.470146,0.09081268,-6.813454,36.32613,0.7817824,-0.2289214,3.4568,0.1587923,-6.999892
4.269425,0.1059647,-6.816307,36.28159,0.8593403,-0.2766813,4.255992,0.1782165,-6.999893
4.801496,0.1170959,-6.819,36.24015,0.9386518,-0.317026,4.788005,0.1921331,-6.999893
5.484944,0.1327744,-6.82338,36.21195,1.013103,-0.3533958,5.471391,0.2108791,-6.999894
6.139056,0.1491241,-6.828339,36.17597,1.091233,-0.3805043,6.125449,0.229926,-6.999895
6.895008,0.1696091,-6.834831,36.14131,1.169547,-0.4007332,6.881349,0.2532022,-6.999895
7.922217,0.1996689,-6.844475,36.10139,1.250837,-0.4110196,7.908492,0.2868878,-6.999897
8.524357,0.2186356,-6.850449,36.04768,1.340288,-0.4056031,8.510579,0.3083499,-6.999897
9.120522,0.2387772,-6.856583,36.01513,1.423873,-0.4033356,9.106702,0.330628,-6.999897
9.839192,0.2647171,-6.86412,35.98277,1.507213,-0.3955475,9.82533,0.3587461,-6.999898
10.74802,0.2996521,-6.873665,35.94412,1.593163,-0.3785739,10.7341,0.3962884,-6.999899
11.53581,0.3318329,-6.881767,35.89576,1.684608,-0.3498096,11.52183,0.4310909,-6.9999
12.12895,0.3575211,-6.887634,35.85323,1.776775,-0.3186044,12.11491,0.4588214,-6.9999
12.62333,0.3801575,-6.892265,35.82028,1.86611,-0.288726,12.60924,0.48292,-6.999901
13.36618,0.4160233,-6.898773,35.79216,1.952764,-0.258979,13.35204,0.5203916,-6.999901
14.26029,0.461441,-6.905952,35.75138,2.043668,-0.2209194,14.24608,0.5678388,-6.999902
15.02795,0.5024261,-6.911446,35.70271,2.139575,-0.1769967,15.01363,0.6110846,-6.999903
15.53343,0.5307312,-6.914574,35.66,2.236387,-0.1340854,15.51903,0.6410254,-6.999903
16.37975,0.5803833,-6.918968,35.63023,2.328676,-0.09564537,16.36523,0.6928074,-6.999904
17.20269,0.6308823,-6.922379,35.58298,2.428436,-0.05241436,17.18801,0.745928,-6.999905
17.88626,0.674736,-6.924461,35.53642,2.531579,-0.01038104,17.87143,0.7923614,-6.999906
18.45825,0.7130508,-6.925583,35.49642,2.634627,0.02863273,18.44327,0.8328642,-6.999906
19.07109,0.7558594,-6.926125,35.46172,2.736188,0.06475353,19.05595,0.8777728,-6.999907
19.6024,0.7945023,-6.926048,35.42462,2.839065,0.09846073,19.58714,0.9181445,-6.999907
20.41724,0.856163,-6.925117,35.39135,2.940331,0.1292576,20.40181,0.982012,-6.999908
21.17689,0.9159088,-6.923546,35.34335,3.048721,0.156029,21.16125,1.044415,-6.999908
21.63131,0.9530182,-6.922226,35.29755,3.159817,0.1788865,21.61553,1.083387,-6.999909
22.21127,1.002167,-6.920082,35.26683,3.264982,0.200184,22.19533,1.134405,-6.999909
23.00304,1.071724,-6.916611,35.22947,3.372586,0.2169259,22.9869,1.206328,-6.99991
23.72472,1.137398,-6.913025,35.18093,3.486671,0.2270758,23.70833,1.274781,-6.999911
24.50617,1.211044,-6.908775,35.13529,3.603114,0.2334968,24.48946,1.351836,-6.999912
25.0605,1.265137,-6.905563,35.08591,3.725051,0.2345767,25.04352,1.408809,-6.999912
25.74616,1.334373,-6.901413,35.04751,3.843926,0.2351736,25.72886,1.481358,-6.999913
26.36341,1.398842,-6.897591,35.00187,3.968139,0.2301605,26.34578,1.549028,-6.999914
27.22745,1.492142,-6.892197,34.9591,4.093082,0.2228403,27.20935,1.646797,-6.999914
28.07748,1.587074,-6.886955,34.90285,4.229045,0.2077954,28.05876,1.747271,-6.999915
28.81827,1.672653,-6.882545,34.84601,4.372511,0.1892722,28.79887,1.838616,-6.999916
29.64543,1.771538,-6.877869,34.79358,4.519452,0.1696143,29.62519,1.944392,-6.999917
30.56017,1.884743,-6.87307,34.7353,4.676174,0.1462144,30.53886,2.066155,-6.999918
31.35095,1.986137,-6.869316,34.67064,4.845734,0.1194385,31.32851,2.176123,-6.999918
31.74783,2.038872,-6.867661,34.61065,5.020108,0.09287646,31.72475,2.233413,-6.999918
32.26072,2.109451,-6.865829,34.57077,5.179907,0.07060561,32.23696,2.308856,-6.999919
32.67685,2.168694,-6.864601,34.52406,5.343789,0.04728556,32.6526,2.371555,-6.999919
33.41327,2.277077,-6.862885,34.48194,5.502839,0.02518085,33.3883,2.484693,-6.99992
34.06219,2.375763,-6.861786,34.42222,5.673005,0.001420915,34.03654,2.587817,-6.999921
34.48167,2.441643,-6.861343,34.36585,5.843471,-0.02097172,34.45558,2.656478,-6.999921
35.10391,2.542473,-6.861076,34.32084,6.00596,-0.04141468,35.07734,2.760303,-6.999922
35.49192,2.607285,-6.861153,34.26469,6.173168,-0.0609054,35.46505,2.826882,-6.999922
36.04475,2.7024,-6.86158,34.22015,6.332362,-0.07881993,36.01763,2.923428,-6.999922
36.67808,2.814529,-6.862427,34.16685,6.492861,-0.09491265,36.65075,3.036791,-6.999923
37.38388,2.943024,-6.863731,34.10887,6.654281,-0.1087525,37.3563,3.166701,-6.999924
37.84444,3.029182,-6.864799,34.0463,6.818171,-0.1199577,37.81662,3.254121,-6.999924
38.24546,3.106216,-6.865898,33.99542,6.976738,-0.130366,38.21753,3.331793,-6.999925
38.62231,3.180473,-6.867073,33.94741,7.130948,-0.1393927,38.59438,3.406077,-6.999925
