x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
9.510088,-6.866455E-05,-13.08952,-0.09510563,9.185791E-05,0.1309046,9.510564,0,-13.09017
9.534144,-9.918213E-05,-13.08823,4.88255,0.0002296448,0.1616787,10.11056,0,-13.09017
9.971912,-0.0001068115,-13.0735,7.836723,0.0003731728,0.1900129,14.70047,0,-13.09017
10.28852,-0.0001296997,-13.06867,21.94725,0.0004707718,0.1769536,15.94487,0,-13.09017
10.62731,-0.0001525879,-13.06523,29.49895,0.0006200409,0.1825989,15.16898,-1.721711E-05,-13.09017
11.389,-0.0001678467,-13.05892,31.61806,0.000734882,0.1887896,13.88009,-4.638606E-05,-13.09017
12.1974,-0.0001831055,-13.05286,30.08837,0.0007952137,0.1837564,12.71519,-8.118206E-05,-13.09017
12.96941,-0.0001907349,-13.04733,27.25026,0.0008282697,0.1747331,11.68247,-0.0001341166,-13.09017
13.50129,-0.000213623,-13.04356,23.43619,0.0007693308,0.162736,12.38604,-0.0001339271,-13.09017
13.8352,-0.0002441406,-13.04126,24.19831,0.0008817333,0.1518583,12.82047,-0.0001338101,-13.09017
14.19277,-0.0002670288,-13.03891,24.87633,0.001034248,0.1425939,13.27668,-0.0001336872,-13.09017
14.53956,-0.000289917,-13.03677,25.62305,0.001186869,0.1314407,13.70944,-0.0001335706,-13.09017
14.92049,-0.0003051758,-13.03458,26.40492,0.001356786,0.1191392,14.17339,-0.0001334456,-13.09017
15.29624,-0.0003204346,-13.03261,27.24123,0.001521074,0.1050867,14.61921,-0.0001333255,-13.09017
15.82902,-0.000328064,-13.03011,28.10009,0.001696924,0.09005249,15.23424,-0.0001331598,-13.09017
16.35041,-0.000328064,-13.02798,29.0455,0.001861519,0.07195251,15.81893,-0.0001330023,-13.09017
16.79019,-0.0003356934,-13.02647,29.99451,0.002008989,0.05307746,16.29759,-0.0001328733,-13.09017
17.32445,-0.0003356934,-13.02496,30.91729,0.002179457,0.03443781,16.86192,-0.0001327213,-13.09017
17.75017,-0.0003356934,-13.02404,31.84073,0.002332868,0.01470161,17.29839,-0.0001326037,-13.09017
18.23132,-0.0003433228,-13.0233,32.7285,0.002486289,-0.004420295,17.77954,-0.000132474,-13.09017
18.87365,-0.000328064,-13.0227,33.46231,0.002654176,-0.02388437,18.42187,-0.000132301,-13.09017
19.47631,-0.0003128052,-13.0225,33.45591,0.002706706,-0.04410379,19.02453,-0.0001321386,-13.09017
19.92656,-0.0003128052,-13.02262,33.4499,0.002745537,-0.06303026,19.47478,-0.0001320173,-13.09017
20.34396,-0.0003128052,-13.02298,33.4454,0.002816882,-0.08062461,19.89219,-0.0001319049,-13.09017
20.99431,-0.000289917,-13.0239,33.44122,0.00288639,-0.09691675,20.54253,-0.0001317297,-13.09017
21.45267,-0.000289917,-13.02478,33.43469,0.002885425,-0.1107868,21.0009,-0.0001316062,-13.09017
22.07549,-0.0002746582,-13.02628,33.43009,0.002934833,-0.1236184,21.62371,-0.0001314384,-13.09017
22.64669,-0.0002670288,-13.02791,33.42383,0.002937262,-0.133514,22.19491,-0.0001312845,-13.09017
23.11339,-0.0002593994,-13.02941,33.41809,0.002950371,-0.1415461,22.66162,-0.0001311588,-13.09017
23.56076,-0.00025177,-13.031,33.4134,0.002957057,-0.1484026,23.10899,-0.0001310383,-13.09017
23.97693,-0.0002441406,-13.03259,33.4089,0.002957524,-0.1535956,23.52517,-0.0001309261,-13.09017
24.42234,-0.0002441406,-13.03441,33.40472,0.002951927,-0.157333,23.97058,-0.0001308061,-13.09017
25.01805,-0.0002288818,-13.03695,33.40025,0.002963436,-0.1590059,24.5663,-0.0001306457,-13.09017
25.60561,-0.0002059937,-13.03952,33.39428,0.002929013,-0.1569762,25.15386,-0.0001304874,-13.09017
26.08331,-0.0002059937,-13.04164,33.3884,0.002860392,-0.152847,25.63156,-0.0001303587,-13.09017
26.76118,-0.0001754761,-13.04465,33.38364,0.002844074,-0.1480982,26.30944,-0.000130176,-13.09017
27.30999,-0.0001602173,-13.04704,33.37688,0.002736713,-0.1390936,26.85826,-0.0001300282,-13.09017
27.74969,-0.0001525879,-13.0489,33.37141,0.002653555,-0.1297323,27.29796,-0.0001299097,-13.09017
28.22532,-0.0001449585,-13.05083,33.36705,0.002583358,-0.1202896,27.7736,-0.0001297816,-13.09017
28.85829,-0.0001220703,-13.05328,33.36232,0.00250908,-0.1093869,28.40657,-0.0001296111,-13.09017
29.44189,-0.0001144409,-13.05537,33.35603,0.002385014,-0.09567627,28.99017,-0.0001294539,-13.09017
29.8913,-0.0001144409,-13.05685,33.35023,0.002291845,-0.08139087,29.43959,-0.0001293328,-13.09017
30.54509,-9.918213E-05,-13.05877,33.34578,0.002218091,-0.0676742,30.09338,-0.0001291566,-13.09017
31.01487,-9.918213E-05,-13.05997,33.33928,0.002100755,-0.05178006,30.56316,-0.0001290301,-13.09017
31.62545,-9.155273E-05,-13.0613,33.33462,0.00202022,-0.0369153,29.95899,-0.0001224647,-13.17835
32.24339,-9.155273E-05,-13.06379,29.68431,0.001938397,-0.285646,29.34489,-0.0001171025,-13.26052
