x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
0,-6.866455E-05,-24.99876,0,9.185791E-05,0.25,0,0,-25
0.02499962,-9.155273E-05,-24.99628,5,0.0002296448,0.3087568,0.6,0,-25
0.3698387,-0.0001068115,-24.97468,7.974751,0.0003502083,0.3628805,4.129353,0,-25
0.6051588,-0.0001220703,-24.96705,19.20603,0.0004650307,0.3575491,5.137881,0,-25
0.8740206,-0.0001525879,-24.96094,25.59201,0.0005913354,0.3780299,4.445409,-2.090944E-05,-25
1.310247,-0.0001678467,-24.95259,27.35336,0.0007123228,0.3973394,3.605127,-4.60424E-05,-25
1.733285,-0.0001754761,-24.94519,27.44582,0.0007819932,0.4053217,2.92068,-7.300111E-05,-25
2.200329,-0.0001983643,-24.93738,27.08702,0.0008158543,0.4098652,2.243097,-0.0001143313,-25
2.597075,-0.000213623,-24.93085,25.78469,0.0008380522,0.4076039,2.785224,-0.0001142068,-25
2.980934,-0.0002365112,-24.92474,27.49344,0.0009478753,0.4033218,3.278625,-0.0001140934,-25
3.353799,-0.00025177,-24.91906,29.20284,0.001092205,0.3953883,3.729573,-0.0001139899,-25
3.847309,-0.0002670288,-24.91195,30.89918,0.001230849,0.3841651,4.291896,-0.0001138607,-25
4.45466,-0.0002746582,-24.90379,32.62413,0.00138113,0.3643533,4.944901,-0.0001137107,-25
5.0298,-0.0002822876,-24.89666,34.32884,0.001520089,0.3360216,5.529606,-0.0001135764,-25
5.613785,-0.000289917,-24.8901,35.95833,0.001664853,0.3046701,6.113628,-0.0001134422,-25
6.076163,-0.0002975464,-24.88547,36.44149,0.001769142,0.2570051,6.57603,-0.000113336,-25
6.674193,-0.0003051758,-24.88022,36.43732,0.00185571,0.2066812,7.174083,-0.0001131987,-25
7.162004,-0.0003128052,-24.87658,36.43177,0.00194472,0.1530531,7.661907,-0.0001130866,-25
7.836053,-0.0003051758,-24.87246,36.42725,0.002035926,0.1024581,8.335968,-0.0001129318,-25
8.451934,-0.0003051758,-24.86954,36.42082,0.002083461,0.04984057,8.951856,-0.0001127903,-25
9.011973,-0.0002975464,-24.86766,36.41491,0.002145102,-3.929436E-05,9.511899,-0.0001126617,-25
9.601583,-0.0002975464,-24.86647,36.40948,0.002180808,-0.04680818,10.10151,-0.0001125263,-25
10.19595,-0.0002975464,-24.86604,36.4037,0.002231255,-0.0907454,10.69588,-0.0001123897,-25
10.85979,-0.000289917,-24.86638,36.39781,0.002279342,-0.1312123,11.35971,-0.0001122373,-25
11.51418,-0.000289917,-24.86749,36.39118,0.002302274,-0.1676644,12.01411,-0.000112087,-25
11.96429,-0.0002975464,-24.86875,36.3846,0.002340614,-0.1996571,12.46422,-0.0001119836,-25
12.52188,-0.0002975464,-24.87087,36.38003,0.002400062,-0.2286345,13.02182,-0.0001118555,-25
13.02543,-0.0003051758,-24.87325,36.37437,0.002440382,-0.2524661,13.52537,-0.0001117398,-25
13.75504,-0.0002975464,-24.87727,36.36924,0.002501787,-0.272505,14.25499,-0.0001115722,-25
14.43727,-0.0002822876,-24.88148,36.36185,0.002521108,-0.2845235,14.93723,-0.0001114155,-25
14.99206,-0.0002670288,-24.88521,36.35495,0.002510109,-0.2918895,15.49203,-0.0001112881,-25
15.57956,-0.00025177,-24.8894,36.34933,0.002486602,-0.2966944,16.07955,-0.0001111532,-25
16.08343,-0.00025177,-24.89316,36.34342,0.002451285,-0.2966351,16.58343,-0.0001110374,-25
16.64227,-0.0002441406,-24.89742,36.33835,0.002450611,-0.2942874,17.14229,-0.0001109091,-25
17.13628,-0.0002365112,-24.90123,36.33277,0.002427226,-0.287301,17.63631,-0.0001107956,-25
17.83705,-0.0002212524,-24.90663,36.32785,0.002398565,-0.2783216,18.33711,-0.0001106346,-25
18.44224,-0.000213623,-24.91122,36.3209,0.002342092,-0.2617225,18.94231,-0.0001104956,-25
18.90677,-0.000213623,-24.91461,36.31493,0.002298389,-0.2437494,19.40685,-0.0001103889,-25
19.626,-0.0001983643,-24.91965,36.31038,0.002273352,-0.2263002,20.1261,-0.0001102237,-25
20.10978,-0.0001983643,-24.92284,36.30331,0.002203977,-0.2018559,20.60989,-0.0001101126,-25
20.68294,-0.0001983643,-24.92635,36.2986,0.002170883,-0.1798446,21.18307,-0.0001099809,-25
21.29414,-0.0001831055,-24.92977,36.29298,0.00213967,-0.1552152,21.79427,-0.0001098405,-25
21.88636,-0.0001831055,-24.93274,36.28699,0.002064308,-0.1290384,22.3865,-0.0001097045,-25
22.42484,-0.0001831055,-24.93511,36.28119,0.002025627,-0.102588,22.92499,-0.0001095808,-25
23.03324,-0.0001754761,-24.93739,36.27591,0.001989034,-0.07668498,23.53339,-0.0001094411,-25
23.61195,-0.0001678467,-24.93917,36.26991,0.001931525,-0.05029877,24.1121,-0.0001093081,-25
24.09873,-0.0001602173,-24.94034,36.26421,0.001870458,-0.02477142,24.59888,-0.0001091963,-25
24.81469,-0.0001525879,-24.94156,36.2594,0.001805954,-0.0008151084,25.31484,-0.0001090319,-25
25.45677,-0.0001449585,-24.94223,36.25228,0.001738369,0.02312064,25.95693,-0.0001088844,-25
25.91343,-0.0001449585,-24.94241,36.24589,0.001667718,0.04526982,26.41359,-0.0001087795,-25
26.48281,-0.0001525879,-24.94228,36.24134,0.001617012,0.06543209,26.98297,-0.0001086487,-25
26.93699,-0.0001525879,-24.9419,36.23565,0.001591999,0.08379087,27.43715,-0.0001085444,-25
27.61506,-0.0001525879,-24.94097,36.23109,0.001551948,0.1004125,28.11522,-0.0001083886,-25
28.24231,-0.0001449585,-24.93979,36.2243,0.001514168,0.1142153,28.74247,-0.0001082446,-25
28.8563,-0.0001449585,-24.93835,36.218,0.00145546,0.1257777,29.35646,-0.0001081035,-25
29.53611,-0.0001525879,-24.93649,36.21184,0.0014162,0.1349941,30.03627,-0.0001079474,-25
29.98445,-0.0001678467,-24.93513,36.20502,0.001402067,0.1412356,30.48461,-0.0001078444,-25
30.56307,-0.0001754761,-24.9332,36.20051,0.001418225,0.1470599,31.06324,-0.0001077115,-25
31.04328,-0.0001754761,-24.93149,36.19471,0.001424021,0.1497227,31.54345,-0.0001076012,-25
31.75146,-0.0001831055,-24.92883,36.1899,0.001413257,0.151259,32.25164,-0.0001074385,-25
32.38812,-0.0001907349,-24.92639,36.18281,0.001426284,0.1484012,32.88831,-0.0001072923,-25
32.92369,-0.0001983643,-24.92432,36.17646,0.001445415,0.1440412,33.42389,-0.0001071693,-25
33.48269,-0.0002059937,-24.92216,36.17112,0.001470311,0.1389187,33.98288,-0.0001070409,-25
33.94155,-0.000213623,-24.92042,36.16554,0.001500745,0.1319691,34.44175,-0.0001069355,-25
34.50681,-0.0002212524,-24.91833,36.16097,0.001536369,0.1247807,35.00702,-0.0001068056,-25
35.09974,-0.0002288818,-24.91624,36.15535,0.001577044,0.1154134,35.59995,-0.0001066694,-25
35.78441,-0.0002212524,-24.91394,36.14945,0.001622502,0.1046655,36.28463,-0.0001065122,-25
36.26731,-0.0002288818,-24.91243,36.14264,0.001626635,0.09203972,36.76753,-0.0001064013,-25
