x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
-8.659822,-6.103516E-05,4.999748,0.08660541,9.185791E-05,-0.04999714,-8.660254,0,5.000001
-8.633963,-9.155273E-05,4.999252,5.106953,0.0002066803,-0.0617386,-8.060254,0,5.000001
-8.267277,-0.0001068115,4.994751,8.100442,0.0003444671,-0.07255573,-4.387075,0,5.000001
-8.019722,-0.0001296997,4.993187,19.71812,0.0004592895,-0.07094334,-3.352094,0,5.000001
-7.716717,-0.0001525879,4.991852,26.25874,0.0006085587,-0.07478502,-4.113005,-2.248115E-05,5.00011
-7.162537,-0.0001678467,4.989799,27.83474,0.0007076076,-0.07781255,-5.15741,-5.30526E-05,5.000272
-6.588562,-0.0001831055,4.987846,27.00551,0.0007597838,-0.07743496,-6.078704,-8.842481E-05,5.000464
-6.106625,-0.0001983643,4.986267,25.28572,0.0007861113,-0.0755984,-6.789557,-0.000134732,4.999894
-5.805183,-0.0002212524,4.985283,23.35139,0.0007645869,-0.07556172,-6.360808,-0.0001346161,4.999894
-5.363754,-0.0002288818,4.983871,24.48337,0.0008820483,-0.07484469,-5.757212,-0.0001344528,4.999894
-5.017746,-0.00025177,4.982803,25.81325,0.000971033,-0.07210103,-5.304089,-0.0001343302,4.999894
-4.482306,-0.0002670288,4.981232,27.09945,0.001111688,-0.06932868,-4.633561,-0.0001341489,4.999894
-3.953831,-0.0002746582,4.979782,28.54714,0.00124687,-0.06423691,-4.002016,-0.0001339781,4.999894
-3.531281,-0.000289917,4.978722,29.99883,0.001370675,-0.0583299,-3.520525,-0.0001338478,4.999894
-3.106968,-0.0003051758,4.977753,31.39518,0.001523191,-0.05250327,-3.059224,-0.0001337231,4.999896
-2.686655,-0.0003204346,4.976898,32.76879,0.001687271,-0.04614847,-2.622733,-0.000133605,4.999896
-2.207037,-0.000328064,4.976044,34.1067,0.001862907,-0.0394133,-2.143114,-0.0001334753,4.999896
-1.593229,-0.000328064,4.975105,35.21379,0.002017989,-0.03169144,-1.529305,-0.0001333093,4.999896
-1.012033,-0.000328064,4.974365,35.20767,0.002099554,-0.02141735,-0.9481096,-0.000133152,4.999896
-0.5845928,-0.0003356934,4.973938,35.20187,0.002177915,-0.01137565,-0.520669,-0.0001330364,4.999896
-0.1200066,-0.0003356934,4.973595,35.1976,0.002276066,-0.002068181,-0.05608273,-0.0001329108,4.999896
0.3570557,-0.0003356934,4.973366,35.19296,0.002353818,0.006960798,0.4209805,-0.0001327817,4.999896
0.9993105,-0.000328064,4.973228,35.1882,0.002428526,0.01556047,1.063235,-0.000132608,4.999896
1.638295,-0.0003204346,4.973251,35.18178,0.002477485,0.02372127,1.70222,-0.0001324352,4.999896
2.226196,-0.0003128052,4.973412,35.17539,0.002518204,0.03117784,2.290121,-0.0001322762,4.999896
2.671802,-0.0003128052,4.973633,35.16951,0.00255099,0.03789346,2.735726,-0.0001321557,4.999896
3.115486,-0.0003128052,4.973946,35.16505,0.002599046,0.04401288,3.179411,-0.0001320357,4.999896
3.715354,-0.0002975464,4.974487,35.16061,0.002645293,0.04941763,3.779279,-0.0001318734,4.999896
4.154953,-0.0002975464,4.97496,35.15461,0.002644006,0.05364686,4.218878,-0.0001317545,4.999896
4.75218,-0.0002822876,4.9757,35.15021,0.00267591,0.05745189,4.816106,-0.000131593,4.999896
5.37858,-0.0002670288,4.976555,35.14423,0.002660875,0.05989783,5.442506,-0.0001314235,4.999896
5.798214,-0.0002670288,4.977173,35.13796,0.002633826,0.06127495,5.86214,-0.00013131,4.999898
6.255732,-0.0002593994,4.97789,35.13376,0.002641006,0.062593,6.319657,-0.0001311863,4.999898
6.692286,-0.0002593994,4.9786,35.12918,0.002625128,0.06303354,6.756211,-0.0001310682,4.999898
7.123466,-0.0002593994,4.979324,35.12481,0.002626588,0.06287465,7.187392,-0.0001309516,4.999898
7.590959,-0.00025177,4.980118,35.1205,0.002628161,0.06207852,7.654885,-0.0001308251,4.999898
8.272261,-0.0002288818,4.981277,35.11583,0.00260691,0.06049766,8.336188,-0.0001306409,4.999898
8.891994,-0.000213623,4.982323,35.10902,0.002534517,0.05721073,8.955922,-0.0001304732,4.999898
9.372334,-0.0002059937,4.983109,35.10283,0.002468939,0.05342572,9.436265,-0.0001303433,4.999898
10.04735,-0.0001907349,4.984169,35.09803,0.002416251,0.04969561,10.11128,-0.0001301607,4.999898
10.49399,-0.0001907349,4.984833,35.09128,0.002336654,0.04462906,10.55792,-0.0001300399,4.999898
10.9969,-0.0001831055,4.985535,35.08683,0.002293425,0.04006996,11.06083,-0.0001299039,4.999898
11.68575,-0.0001678467,4.98642,35.0818,0.002229213,0.03502262,11.74969,-0.0001297176,4.999898
12.29004,-0.0001602173,4.987114,35.07492,0.002138553,0.02903833,12.35397,-0.0001295541,4.999898
12.74228,-0.0001602173,4.987572,35.06888,0.002061855,0.02312604,12.80621,-0.0001294318,4.999898
13.1796,-0.0001602173,4.987953,35.06437,0.0020049,0.01758098,13.24353,-0.0001293135,4.999898
13.78868,-0.0001525879,4.988396,35.06,0.001950412,0.01210489,13.85262,-0.0001291488,4.999898
14.28289,-0.0001525879,4.988678,35.05391,0.001875467,0.006345674,14.34683,-0.0001290151,4.999898
14.93423,-0.0001449585,4.988953,35.04897,0.001820212,0.0009291582,14.99817,-0.0001288389,4.9999
15.65309,-0.0001373291,4.989143,35.04247,0.001744532,-0.004477445,15.71702,-0.0001286445,4.9999
16.23255,-0.0001373291,4.989212,35.03528,0.001665759,-0.009648565,16.29649,-0.0001284878,4.9999
16.68301,-0.0001449585,4.989197,35.02949,0.001606833,-0.01440442,16.74695,-0.000128366,4.9999
17.20736,-0.0001525879,4.989105,35.02499,0.001573342,-0.0187741,17.27129,-0.0001282241,4.9999
17.72161,-0.0001602173,4.988945,35.01974,0.001547847,-0.02272567,17.78555,-0.000128085,4.9999
18.34185,-0.0001602173,4.988678,35.01459,0.001529982,-0.02623493,18.40579,-0.0001279173,4.9999
19.00534,-0.0001602173,4.988319,35.00839,0.001496562,-0.02914724,19.06927,-0.0001277378,4.9999
19.62737,-0.0001602173,4.987923,35.00176,0.001464727,-0.03144284,19.69131,-0.0001275696,4.9999
20.0727,-0.0001678467,4.987595,34.99553,0.001434355,-0.0332304,20.13664,-0.0001274491,4.9999
20.53529,-0.0001754761,4.987221,34.99108,0.001428226,-0.03481983,20.59922,-0.000127324,4.9999
21.01927,-0.0001831055,4.986801,34.98645,0.001428932,-0.03593234,21.08321,-0.0001271931,4.9999
21.67303,-0.0001831055,4.986206,34.98161,0.001436208,-0.03654858,21.73697,-0.0001270163,4.9999
22.39257,-0.0001831055,4.985519,34.97507,0.001426954,-0.03625957,22.4565,-0.0001268217,4.9999
22.96461,-0.0001907349,4.98497,34.96788,0.001418336,-0.03520664,23.02855,-0.0001266669,4.9999
23.42127,-0.0002059937,4.984528,34.96216,0.001433141,-0.03403225,23.48521,-0.0001265434,4.9999
23.85361,-0.0002212524,4.984116,34.95759,0.00147684,-0.03276471,23.91755,-0.0001264265,4.999902
24.33434,-0.0002288818,4.983665,34.95326,0.001531783,-0.03126204,24.39828,-0.0001262965,4.999902
24.98435,-0.0002288818,4.98307,34.94846,0.001574612,-0.02936235,25.04829,-0.0001261206,4.999902
25.57138,-0.0002365112,4.982559,34.94196,0.001599499,-0.02672368,25.63532,-0.0001259619,4.999902
26.01836,-0.0002441406,4.982193,34.9361,0.00164653,-0.02394248,26.0823,-0.000125841,4.999902
26.46479,-0.0002441406,4.981857,34.93162,0.001698205,-0.02127846,26.52873,-0.0001257202,4.999902
26.93496,-0.00025177,4.981529,34.92716,0.001731446,-0.01850413,26.9989,-0.0001255931,4.999902
27.52649,-0.0002441406,4.981163,34.92246,0.00178651,-0.01558051,27.59043,-0.0001254331,4.999902
28.22159,-0.0002441406,4.980782,34.91655,0.001800153,-0.01238199,28.28553,-0.000125245,4.999902
29.07828,-0.0002288818,4.980377,34.9096,0.001830091,-0.00895622,29.14222,-0.0001250133,4.999902
29.52715,-0.0002365112,4.980209,34.90103,0.001813294,-0.005276222,29.59109,-0.0001248919,4.999902
29.99146,-0.0002441406,4.980072,34.89655,0.001853181,-0.002113383,30.0554,-0.0001247663,4.999902
30.43826,-0.00025177,4.97998,34.8919,0.00189809,0.000974346,30.50219,-0.0001246455,4.999902
30.94145,-0.0002441406,4.979927,34.88743,0.001947804,0.003918506,31.00539,-0.0001245094,4.999902
31.60456,-0.0002365112,4.979912,34.8824,0.001956261,0.006709389,31.6685,-0.00012433,4.999902
32.17308,-0.0002365112,4.979942,34.87577,0.001958282,0.009321105,32.23702,-0.0001241763,4.999902
32.62921,-0.0002441406,4.980003,34.87008,0.001976934,0.01170584,32.69315,-0.0001240529,4.999904
33.13381,-0.0002441406,4.98011,34.86552,0.002017935,0.01388586,33.19775,-0.0001239164,4.999904
33.62888,-0.0002441406,4.980247,34.86048,0.002040989,0.01578786,33.69282,-0.0001237825,4.999904
34.15291,-0.0002441406,4.980423,34.85552,0.00206332,0.01743445,34.21685,-0.0001236408,4.999904
34.80381,-0.0002365112,4.980682,34.85028,0.002084987,0.01878712,34.86775,-0.0001234647,4.999904
35.49663,-0.0002288818,4.980988,34.84377,0.00208314,0.01968762,35.56057,-0.0001232773,4.999904
35.97522,-0.0002288818,4.981216,34.83685,0.002075228,0.02019809,36.03915,-0.0001231479,4.999904
36.44936,-0.0002288818,4.981461,34.83206,0.002084259,0.02066283,36.5133,-0.0001230197,4.999904
37.05574,-0.0002212524,4.981789,34.82732,0.002093113,0.02087197,37.11968,-0.0001228556,4.999904
37.51924,-0.000213623,4.982048,34.82125,0.002078943,0.02061597,37.58318,-0.0001227303,4.999904
38.33985,-0.0001983643,4.982506,34.81662,0.002059021,0.02030184,38.40379,-0.0001225083,4.999904
38.9333,-0.0001907349,4.982834,34.80841,0.002010958,0.01918557,38.99723,-0.0001223478,4.999904
39.39906,-0.0001907349,4.983086,34.80247,0.001975021,0.01811953,39.463,-0.0001222218,4.999904
39.85204,-0.0001983643,4.98333,34.79782,0.001957142,0.0170496,39.91598,-0.0001220993,4.999904
40.25572,-0.0002059937,5.007523,18.10883,0.001502857,6.430514,40.36406,-0.0001219781,4.999904
40.69879,-0.0002059937,5.032631,31.94967,0.001929044,1.546655,40.83445,-0.0001218509,4.999904
41.24884,-0.0001983643,5.101387,16.91316,0.001500163,7.907271,41.48357,-0.0001216753,4.999906
41.77206,-0.0001907349,5.209625,14.60829,0.001449691,9.265403,42.17448,-0.0001214884,4.999906
42.06552,-0.0001983643,5.305809,12.39984,0.001448978,12.30425,42.61163,-0.0001213702,4.999906
42.35006,-0.0002059937,5.440376,9.7669,0.001360711,13.38913,43.09814,-0.0001212386,4.999906
42.57219,-0.000213623,5.588791,7.248285,0.001276768,15.11848,43.54325,-0.0001211182,4.999906
42.78081,-0.0002212524,5.785645,4.862714,0.001204661,16.95983,44.0462,-0.0001209822,4.999906
42.98904,-0.000213623,6.06839,2.513467,0.001129519,18.8766,44.67331,-0.0001208126,4.999906
43.13742,-0.0002212524,6.366814,0.7506447,0.001053223,21.04039,45.25449,-0.0001206554,4.999906
43.21848,-0.0002288818,6.627693,-1.40322,0.0009712441,23.21456,45.70539,-0.0001205334,4.999906
43.26472,-0.0002441406,6.916969,-3.893358,0.0008652523,24.79786,46.15698,-0.0001204113,4.999906
43.27833,-0.0002441406,7.328423,-6.403923,0.0008007008,27.32639,46.73801,-0.0001202541,4.999906
43.25251,-0.0002593994,7.681931,-8.898527,0.0007128929,29.22967,47.19432,-0.0001201307,4.999906
43.13601,-0.0002670288,8.407516,-11.15982,0.0006221505,31.50707,48.05445,-0.0001198981,4.999906
42.99626,-0.0002822876,9.013901,-13.29994,0.0005420443,34.67281,48.7124,-0.0001197201,4.999906
42.98145,-0.0002975464,9.400673,15.34613,0.001277947,15.5166,49.18378,-0.0001195926,4.999906
43.05143,-0.0003128052,9.707809,22.23446,0.00144689,11.31939,49.61653,-0.0001194755,4.999906
43.21185,-0.000328064,9.96843,29.11637,0.001627379,7.07083,50.05735,-0.0001193563,4.999906
43.50102,-0.0003356934,10.20363,36.02215,0.001819445,2.731167,50.56188,-0.0001192198,4.999907
44.02285,-0.0003356934,10.42571,42.94145,0.00200017,-1.72809,51.22437,-0.0001190407,4.999907
44.58146,-0.0003356934,10.53609,49.79508,0.002163902,-6.324863,51.79377,-0.0001188867,4.999907
45.02812,-0.0003433228,10.5564,55.62216,0.002286593,-10.89888,52.2409,-0.0001187657,4.999907
45.45804,-0.0003509521,10.52308,56.15706,0.002173322,-15.41187,52.6721,-0.0001186491,4.999907
45.88332,-0.0003662109,10.53359,23.05634,0.000930734,9.743811,53.12459,-0.0001185267,4.999907
46.30432,-0.0003814697,10.59248,21.69894,0.0008043564,12.77516,53.59989,-0.0001183981,4.999907
46.82499,-0.0003814697,10.73284,20.41692,0.0006724548,15.8442,54.22385,-0.0001182294,4.999907
47.35073,-0.0003890991,10.95136,19.30386,0.0005478702,18.99246,54.89215,-0.0001180486,4.999907
47.68129,-0.0004043579,11.143,18.31236,0.000415918,22.23421,55.33727,-0.0001179282,4.999907
47.98714,-0.0004272461,11.37653,17.27729,0.0002760029,25.48023,55.77361,-0.0001178102,4.999907
48.38728,-0.0004425049,11.7645,16.2935,0.0001252103,28.79169,56.37852,-0.0001176466,4.999907
48.68618,-0.0004577637,12.12319,15.45388,-2.530783E-05,32.26684,56.85683,-0.0001175172,4.999907
49.03872,-0.0004806519,12.63723,14.60863,-0.0001797533,35.81343,57.48015,-0.0001173486,4.999907
49.43206,-0.00050354,13.32873,13.20329,-0.0003568039,38.47922,58.27568,-0.0001171334,4.999907
49.74751,-0.0005187988,13.60515,45.86946,0.001244563,0.9567624,58.6951,-0.00011702,4.999907
50.0202,-0.0005493164,13.89947,19.09028,-0.0003385808,34.34726,59.09633,-0.0001169115,4.999907
50.28141,-0.000579834,14.24155,18.34938,-0.0008340916,38.12069,59.52673,-0.0001167951,4.999909
50.50797,-0.000617981,14.59816,16.40052,-0.001144384,40.25003,59.94923,-0.0001166808,4.999909
50.77962,-0.0006561279,15.11256,13.34737,-0.001121047,40.7054,60.53095,-0.0001165234,4.999909
51.01095,-0.0007019043,15.63905,11.54365,-0.001314327,42.33277,61.10601,-0.0001163679,4.999909
51.14928,-0.0007324219,16.01782,9.845825,-0.001496136,43.70044,61.50925,-0.0001162588,4.999909
51.26116,-0.0007705688,16.38776,8.218716,-0.001650796,44.72368,61.89574,-0.0001161543,4.999909
51.35802,-0.0008163452,16.7768,6.738123,-0.001795594,45.5616,62.29666,-0.0001160459,4.999909
51.57702,-0.0008544922,17.04421,44.55015,0.001140961,-6.387121,62.69308,-0.0001159386,4.999909
51.80148,-0.0008850098,17.38485,16.00502,-0.001970095,39.03427,63.10288,-0.0001158278,4.999909
