x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
9.510089,-5.340576E-05,13.08952,-0.09510565,9.185791E-05,-0.1309074,9.510565,0,13.09017
9.518774,-7.629395E-05,13.09073,1.808306,0.0001836395,0.3382378,10.09132,-2.300798E-08,13.24093
9.712941,-9.155273E-05,13.13008,4.086994,0.0002926327,0.912307,14.27288,-1.801159E-07,14.33788
9.876896,-0.0001144409,13.17077,17.02578,0.0003954652,4.408863,15.16531,-2.125761E-07,14.61293
10.11841,-0.0001373291,13.23329,23.1357,0.0005330005,6.158558,14.44508,-1.63741E-05,14.42503
10.35335,-0.0001602173,13.29507,24.72173,0.0006393477,6.619564,13.94019,-2.841985E-05,14.28927
10.77403,-0.0001754761,13.40663,26.2468,0.0007631443,7.051252,13.20944,-5.101886E-05,14.09182
11.30776,-0.0001907349,13.54897,25.99279,0.0008405058,7.006232,12.39601,-8.41116E-05,13.87201
11.65523,-0.000213623,13.64202,24.27607,0.000880919,6.564569,11.90073,-0.0001125962,13.73843
12.02044,-0.0002288818,13.74017,23.06926,0.000944784,6.257957,12.39859,-0.0001123479,13.89381
12.6031,-0.0002365112,13.89771,24.15712,0.001067743,6.63269,13.16438,-0.0001119671,14.13208
13.23931,-0.0002441406,14.07135,25.49449,0.001179804,7.126555,13.96602,-0.0001115697,14.38321
14.03639,-0.0002441406,14.2916,26.90923,0.00129794,7.665786,14.9261,-0.0001110938,14.68399
14.51461,-0.00025177,14.42571,28.4441,0.001399387,8.271342,15.47527,-0.0001108224,14.85549
15.00118,-0.0002593994,14.56423,29.82788,0.001523543,8.808189,16.00805,-0.00011056,15.02136
15.45866,-0.0002670288,14.69643,31.19102,0.001653616,9.349115,16.48571,-0.0001103254,15.17109
16.27331,-0.0002593994,14.93526,32.50488,0.001789543,9.875935,17.29858,-0.0001099262,15.42591
17.04258,-0.00025177,15.16405,33.76981,0.001885952,10.40984,18.06462,-0.0001095512,15.66529
17.59803,-0.0002441406,15.33167,33.82488,0.001914633,10.58087,18.61856,-0.0001092809,15.83785
18.11234,-0.0002441406,15.48906,33.79361,0.001930694,10.70833,19.13236,-0.0001090317,15.99691
18.62842,-0.0002441406,15.64911,33.75945,0.001962596,10.82367,19.64866,-0.0001087821,16.15624
19.34339,-0.0002288818,15.87363,33.73485,0.001993291,10.9276,20.36511,-0.0001084379,16.37597
20.04643,-0.0002212524,16.09685,33.72009,0.001977107,11.00594,21.07148,-0.0001081017,16.58842
20.55273,-0.0002212524,16.25911,33.72052,0.001971741,11.06215,21.58113,-0.000107862,16.73983
21.09527,-0.000213623,16.43436,33.70741,0.001982837,11.10519,22.1278,-0.0001076058,16.90175
21.61449,-0.0001983643,16.6264,-1.129729,0.001454254,3.593638,22.83561,-0.000107276,17.10795
22.04416,-0.0001831055,16.82666,-7.98821,0.001420246,2.375844,23.73055,-0.0001068629,17.3636
22.25125,-0.0001678467,16.98594,-14.77365,0.001391044,1.227589,24.62303,-0.0001064509,17.61854
22.24214,-0.0001602173,17.07811,-21.61637,0.001365576,0.09739429,25.30748,-0.0001061358,17.81347
22.0854,-0.0001602173,17.13255,-28.74438,0.001335919,-1.272537,25.91282,-0.0001058589,17.98482
21.73589,-0.0001525879,17.16432,-35.87613,0.001301176,-2.487916,26.60503,-0.0001055423,18.18075
21.19907,-0.0001525879,17.16594,-43.14762,0.001273234,-3.713076,27.32014,-0.0001052181,18.377
20.58791,-0.0001525879,17.11787,-46.19714,0.001240666,-8.953129,27.95542,-0.000104931,18.55082
20.00352,-0.0001602173,17.04112,-53.94816,0.001207291,-11.48592,28.5246,-0.0001046753,18.7039
19.32567,-0.0001678467,16.9244,-57.38228,0.0009838461,-13.52698,29.18946,-0.0001043775,18.88016
18.37464,-0.0001678467,16.72843,-58.96449,0.0007211373,-15.1545,30.12929,-0.0001039604,19.12427
17.67704,-0.0001831055,16.54205,-27.94312,0.0006556996,-12.85341,30.82956,-0.0001036524,19.30034
17.35543,-0.0001983643,16.44554,12.71989,0.0009059934,0.9570348,31.33516,-0.0001034327,19.42148
17.1839,-0.000213623,16.37165,25.65012,0.00101261,3.773071,32.00311,-0.0001031449,19.57618
17.08761,-0.0002212524,16.2952,0.7406089,0.0007190004,-7.592347,32.52098,-0.0001029244,19.6917
17.00032,-0.0002365112,16.15939,2.282635,0.0006916369,-8.888575,33.24934,-0.0001026161,19.85112
16.95764,-0.0002441406,15.99648,3.528668,0.0006496232,-10.35917,33.96424,-0.0001023152,20.00255
16.95517,-0.0002593994,15.86626,4.650444,0.0006164208,-11.93831,34.44234,-0.0001021151,20.10186
16.97683,-0.0002746582,15.71504,5.829165,0.000580781,-13.51384,34.91592,-0.000101917,20.20022
17.02003,-0.0002975464,15.54441,6.936191,0.0005429436,-15.18389,35.37876,-0.0001017239,20.29608
17.08827,-0.0003128052,15.3362,7.97147,0.0004970469,-16.93439,35.87379,-0.0001015173,20.39861
17.24828,-0.0003204346,14.91162,8.907641,0.0004544282,-18.79966,36.7668,-0.0001011447,20.58356
17.68225,-0.0003356934,14.70796,66.16734,0.001227323,3.438729,37.38907,-0.0001008859,20.71206
18.12884,-0.0003585815,14.64551,81.95378,0.001439277,8.788696,37.83068,-0.0001007021,20.80325
18.63097,-0.0003814697,14.65176,91.15553,0.001529951,14.71074,38.32248,-0.0001004975,20.90481
19.33828,-0.0003967285,14.73227,91.40633,0.001476991,19.52533,39.01965,-0.0001002075,21.04878
20.01418,-0.0004043579,14.85542,91.18523,0.001446884,22.72736,39.69294,-9.992823E-05,21.18544
20.6835,-0.0004272461,15.0079,90.89034,0.001425017,24.74478,40.36622,-9.965058E-05,21.31933
21.53897,-0.0004348755,15.22832,90.63851,0.001467605,25.97383,41.23277,-9.929427E-05,21.49116
22.17685,-0.0004577637,15.40463,90.47678,0.001484829,26.64112,41.88242,-9.902871E-05,21.61733
23.09073,-0.0004653931,15.6676,90.37691,0.001553807,26.9894,42.81654,-9.864797E-05,21.7955
23.89317,-0.0004806519,15.90321,90.356,0.001588741,27.03574,43.63821,-9.831502E-05,21.95131
24.47396,-0.00050354,16.07508,90.36695,0.001646641,26.94313,44.23367,-9.807443E-05,22.06216
24.79064,-0.0005187988,16.17226,6.430474,7.129319E-05,2.917388,44.63684,-9.791248E-05,22.13561
25.02926,-0.000541687,16.25107,-0.4574695,-5.652521E-05,1.475447,45.04465,-9.774962E-05,22.20948
25.26169,-0.0005722046,16.33871,-6.133319,-0.000192435,0.1122527,45.64577,-9.751024E-05,22.31631
25.37137,-0.0005950928,16.39327,-6.209086,-0.0006974778,1.036562,46.10775,-9.732733E-05,22.39794
25.42558,-0.0006332397,16.45011,-10.82351,-0.0009577273,0.246785,46.73478,-9.70805E-05,22.50809
25.37691,-0.0006713867,16.4954,-15.71137,-0.001255888,-0.5474129,47.45011,-9.680212E-05,22.6303
25.28351,-0.0007095337,16.51015,-20.95986,-0.001579035,-1.353422,47.85968,-9.664497E-05,22.69813
25.12499,-0.0007476807,16.51364,-26.21731,-0.001908142,-2.173767,48.26362,-9.649041E-05,22.76485
24.90635,-0.000793457,16.50707,-31.99204,-0.002247334,-2.776438,48.65096,-9.634304E-05,22.82846
24.52769,-0.0008544922,16.48524,-37.81137,-0.002620843,-3.5624,49.16085,-9.614957E-05,22.91197
23.94617,-0.0009307861,16.44214,-44.19107,-0.003055895,-4.363248,49.78615,-9.591364E-05,23.01381
23.3353,-0.00100708,16.39239,-51.56686,-0.003565861,-4.804964,50.39112,-9.568602E-05,23.11206
22.93058,-0.001068115,16.35954,-56.0207,-0.003848327,-4.520191,50.79195,-9.553562E-05,23.17698
22.53455,-0.00112915,16.32764,-57.11972,-0.003927184,-4.546187,51.18421,-9.538926E-05,23.24016
22.15032,-0.001182556,16.29538,-58.15079,-0.004012711,-5.192523,51.56491,-9.52476E-05,23.3013
21.71987,-0.001235962,16.25828,-59.1863,-0.004101276,-5.300455,51.99152,-9.50893E-05,23.36963
