x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
0,-6.103516E-05,14.99925,0,9.185791E-05,-0.15,0,0,15
0.006622314,-9.155273E-05,14.99954,1.324545,0.000206604,0.1709028,0.5794195,-3.337463E-08,15.1558
0.1686592,-9.918213E-05,15.0248,3.458959,0.0003442717,0.6503152,4.840396,-2.639537E-07,16.11316
0.3264141,-0.0001144409,15.05745,16.60146,0.0004353937,3.605286,5.768647,-3.11884E-07,16.31216
0.5784655,-0.0001373291,15.11122,22.8096,0.0005555964,4.961976,4.988013,-1.684181E-05,16.13313
0.8180122,-0.0001602173,15.16271,24.19127,0.0006607638,5.245649,4.45418,-2.872147E-05,16.01212
1.211403,-0.0001754761,15.24752,25.56277,0.000784708,5.535522,3.745238,-4.91723E-05,15.85187
1.695147,-0.0001907349,15.35187,25.36687,0.0008682878,5.477872,2.980873,-7.870317E-05,15.67925
2.008919,-0.0002059937,15.41948,23.91971,0.0009207716,5.140303,2.518748,-0.0001035969,15.57496
2.35491,-0.000213623,15.4939,22.93888,0.000976501,4.910329,3.011683,-0.0001032886,15.67492
2.874563,-0.0002212524,15.60536,24.14356,0.001077684,5.14351,3.721867,-0.0001028445,15.81893
3.413488,-0.0002212524,15.72053,25.59313,0.001185246,5.416306,4.425171,-0.0001024066,15.96094
4.000809,-0.0002288818,15.84544,27.10729,0.0012759,5.696084,5.15474,-0.0001019542,16.10762
4.383354,-0.0002441406,15.92634,28.67814,0.00138989,5.980401,5.606177,-0.0001016755,16.198
4.810704,-0.0002441406,16.0162,30.13129,0.001532404,6.24427,6.085472,-0.0001013796,16.29395
5.431881,-0.0002441406,16.14603,31.59039,0.001640732,6.504818,6.748387,-0.0001009721,16.42609
6.344654,-0.0002288818,16.33568,33.05647,0.001749616,6.764478,7.675698,-0.0001004045,16.61412
7.01009,-0.0002288818,16.47309,34.46941,0.001813358,7.008283,8.341736,-9.999861E-05,16.74859
7.508969,-0.0002365112,16.57549,34.92357,0.001864147,7.058794,8.84078,-9.969834E-05,16.85018
8.089201,-0.0002288818,16.69389,34.92629,0.001914762,7.02031,9.421066,-9.93492E-05,16.96832
8.643235,-0.0002288818,16.80629,34.94069,0.001924156,6.984267,9.975211,-9.901862E-05,17.08017
9.431188,-0.000213623,16.96523,34.9488,0.001949735,6.948168,10.76327,-9.855049E-05,17.23856
10.07068,-0.0002059937,17.09351,34.9609,0.001928922,6.912374,11.40292,-9.817374E-05,17.36603
10.58085,-0.0002059937,17.19527,34.96145,0.001919041,6.876595,11.91311,-9.787324E-05,17.4677
11.08909,-0.0001983643,17.29612,34.96918,0.001926227,6.84405,12.42136,-9.757516E-05,17.56855
11.76489,-0.0001831055,17.42952,34.9701,0.001910358,6.81286,13.09701,-9.717889E-05,17.70263
12.55521,-0.0001678467,17.58476,34.97519,0.001866335,6.784702,13.88716,-9.671745E-05,17.85876
13.23412,-0.0001602173,17.71749,34.98521,0.001811797,6.758425,14.56602,-9.632437E-05,17.99176
13.74473,-0.0001525879,17.81687,34.98992,0.001769767,6.731792,15.07658,-9.602999E-05,18.09136
