x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
0,-6.103516E-05,19.999,0,9.185791E-05,-0.2,0,0,20
0.008354187,-9.155273E-05,20.00184,1.670895,0.000206604,0.7169066,0.519722,-2.373078E-08,20.29981
0.1672134,-0.0001068115,20.07432,3.766406,0.000344148,1.864882,3.823174,-4.411559E-07,22.17339
0.3172722,-0.0001296997,20.1534,14.14033,0.0004576431,7.717833,4.705851,-5.464913E-07,22.65538
0.5139751,-0.0001525879,20.25939,19.58418,0.0006062081,10.7121,4.084416,-1.938228E-05,22.30176
0.7062197,-0.0001754761,20.36358,20.93092,0.0007157261,11.42052,3.644739,-3.285115E-05,22.05354
0.9742584,-0.0001983643,20.50912,22.22879,0.0008444414,12.1056,3.148844,-5.220843E-05,21.77388
1.280734,-0.000213623,20.67558,22.64891,0.0009626132,12.30729,2.656205,-7.709635E-05,21.49598
1.731892,-0.0002288818,20.92039,22.40582,0.001043934,12.13207,1.993884,-0.0001245322,21.12187
2.208111,-0.0002288818,21.1782,20.61156,0.001050427,11.09216,2.682493,-0.0001241874,21.47164
2.549161,-0.0002441406,21.36211,21.96168,0.001130239,11.72483,3.154211,-0.0001239527,21.7097
2.930622,-0.0002593994,21.56684,23.21629,0.001255908,12.31318,3.656823,-0.0001237027,21.96336
3.472979,-0.0002593994,21.85638,24.53908,0.001393281,12.92577,4.336232,-0.0001233646,22.30624
4.036138,-0.0002593994,22.15517,26.00443,0.001496659,13.58695,5.005947,-0.0001230325,22.64314
4.799074,-0.00025177,22.55717,27.48767,0.001600272,14.23507,5.868217,-0.0001226077,23.07134
5.432797,-0.0002441406,22.88849,29.01596,0.001681449,14.8792,6.547032,-0.0001222732,23.40843
6.067913,-0.0002365112,23.21785,30.46848,0.001756932,15.48139,7.193514,-0.0001219568,23.72741
6.737249,-0.0002212524,23.56197,31.86184,0.00182687,16.02556,7.871408,-0.0001216281,24.05434
7.330069,-0.0002212524,23.86374,32.16362,0.001806044,15.9678,8.473822,-0.0001212962,24.33647
7.754276,-0.0002365112,24.07724,32.28701,0.001808156,15.78569,8.906571,-0.000121063,24.53207
8.207887,-0.00025177,24.30272,32.39031,0.001855734,15.6002,9.369418,-0.0001208158,24.73791
8.648087,-0.0002593994,24.51856,32.5194,0.00191428,15.39914,9.819213,-0.00012058,24.93295
9.098479,-0.0002746582,24.73611,32.65519,0.001960027,15.1818,10.27989,-0.0001203428,25.12777
9.835498,-0.0002593994,25.08636,32.77866,0.002032962,14.94559,11.03325,-0.0001199583,25.44131
10.43602,-0.00025177,25.3665,32.93507,0.002024172,14.65412,11.64697,-0.0001196497,25.6912
10.90715,-0.00025177,25.5819,33.07955,0.002025468,14.36668,12.12735,-0.0001194102,25.8851
11.5532,-0.0002441406,25.87114,33.21189,0.002042956,14.09163,12.78428,-0.0001190846,26.14871
12.15163,-0.0002365112,26.13321,33.34206,0.002036938,13.7964,13.39082,-0.0001187849,26.3914
12.78267,-0.0002288818,26.40332,33.46639,0.002024773,13.51109,14.02837,-0.0001184707,26.64576
13.4311,-0.0002288818,26.67449,33.59177,0.002006834,13.23228,14.68169,-0.0001181506,26.9049
13.90988,-0.0002365112,26.87004,33.71073,0.002006266,12.95606,15.16327,-0.0001179161,27.09343
14.40269,-0.0002365112,27.06664,33.81655,0.002028567,12.70158,15.65753,-0.000117676,27.28637
14.87386,-0.0002441406,27.25031,33.91394,0.002033495,12.45554,16.12924,-0.0001174476,27.46863
15.57635,-0.0002365112,27.51802,34.01098,0.002061239,12.22871,16.83101,-0.0001171097,27.73821
16.24914,-0.0002288818,27.76877,34.10338,0.002048614,12.00589,17.50325,-0.0001167888,27.99042
16.91945,-0.0002212524,28.01323,34.19873,0.002030091,11.79537,18.17282,-0.0001164727,28.23689
17.46614,-0.0002212524,28.20839,34.28919,0.002005864,11.58721,18.71928,-0.0001162177,28.43272
17.96575,-0.0002212524,28.38303,34.37214,0.00199904,11.38802,19.21841,-0.0001159867,28.60871
18.46894,-0.0002212524,28.55542,34.44452,0.001992486,11.20425,19.72034,-0.0001157557,28.78471
19.1497,-0.000213623,28.78411,34.51668,0.001986293,11.02951,20.39922,-0.0001154458,29.0189
19.80088,-0.0002059937,28.99884,34.58122,0.00195767,10.87459,21.04797,-0.0001151522,29.24086
20.51209,-0.0001983643,29.22927,34.63325,0.001923886,10.72904,21.75631,-0.0001148333,29.47995
21.04366,-0.0001983643,29.39867,34.68557,0.001885419,10.59803,22.28579,-0.0001145968,29.65576
21.53788,-0.0001983643,29.55374,34.7378,0.001865101,10.47798,22.77777,-0.000114379,29.8178
22.20363,-0.0001907349,29.7596,34.78612,0.001845742,10.36307,23.44069,-0.0001140877,30.03259
22.98285,-0.0001754761,29.99727,34.82772,0.001804618,10.26199,24.21688,-0.0001137495,30.27999
23.59393,-0.0001754761,30.18133,34.85762,0.00173623,10.17244,24.8257,-0.0001134856,30.47137
24.36028,-0.0001678467,30.40949,34.88805,0.001704005,10.08627,25.58942,-0.0001131563,30.70815
25.29639,-0.0001525879,30.68528,34.91966,0.001650785,10.01788,26.52219,-0.0001127573,30.99504
26.02605,-0.0001449585,30.89822,34.94431,0.001571017,9.959343,27.24973,-0.0001124486,31.21511
26.66531,-0.0001449585,31.08318,34.97173,0.001504986,9.898844,27.88758,-0.00011218,31.40486
27.0823,-0.0001602173,31.2028,35.00677,0.001458664,9.831113,28.30432,-0.0001120064,31.52537
27.49875,-0.0001754761,31.32127,35.04015,0.001460385,9.761104,28.72078,-0.0001118342,31.64379
27.89544,-0.0001907349,31.43317,35.07384,0.001475245,9.682938,29.11798,-0.0001116713,31.75382
28.49139,-0.0001983643,31.59986,35.09629,0.001502581,9.611506,29.71446,-0.0001114273,31.91862
29.13696,-0.0001983643,31.77893,35.12273,0.00151915,9.540957,30.36044,-0.0001111643,32.09618
29.68831,-0.0002059937,31.93061,35.14791,0.001518728,9.47245,30.91203,-0.000110941,32.24702
30.06742,-0.0002212524,32.03409,35.16645,0.001541335,9.407461,31.29115,-0.0001107878,32.35044
30.44208,-0.0002365112,32.13557,35.17885,0.001592347,9.34735,31.66562,-0.0001106366,32.45259
30.83535,-0.00025177,32.24133,35.18976,0.001654164,9.292331,32.05851,-0.0001104779,32.55975
31.21475,-0.0002670288,32.34265,35.20543,0.001726266,9.236253,32.43767,-0.0001103251,32.66195
31.63435,-0.0002746582,32.45395,35.21456,0.001808055,9.186963,32.85682,-0.0001101562,32.77491
32.24252,-0.0002746582,32.61428,35.22172,0.001876185,9.14313,33.4641,-0.0001099115,32.93858
32.78923,-0.0002746582,32.7576,35.23117,0.001924935,9.1074,34.0099,-0.0001096922,33.0853
33.18929,-0.0002822876,32.86195,35.24656,0.001971354,9.07626,34.4093,-0.0001095325,33.19212
33.58488,-0.000289917,32.96464,35.2566,0.002038315,9.039821,34.80444,-0.000109375,33.29652
34.11292,-0.000289917,33.10104,35.27986,0.002108624,9.002894,35.3323,-0.0001091661,33.43358
34.51213,-0.0002975464,33.20369,35.28289,0.002159142,8.969382,35.73127,-0.0001090082,33.53717
34.92648,-0.0003051758,33.30971,35.31253,0.00223016,8.926165,36.146,-0.0001088457,33.64167
35.52083,-0.0002975464,33.46104,35.33135,0.002304098,8.886501,36.74091,-0.0001086138,33.79082
36.08085,-0.000289917,33.60289,35.34231,0.002335196,8.837747,37.30168,-0.0001083958,33.92965
36.47147,-0.0002975464,33.70129,35.36767,0.002358272,8.784894,37.69309,-0.0001082448,34.02484
36.85969,-0.0003051758,33.79851,35.389,0.002419302,8.729022,38.08229,-0.0001080953,34.11805
37.26077,-0.0003128052,33.89831,35.40494,0.002483858,8.674812,38.48429,-0.0001079414,34.21408
37.67112,-0.0003128052,33.99976,35.42733,0.002551845,8.613632,38.89577,-0.0001077846,34.31087
38.08572,-0.0003128052,34.10151,35.45083,0.002600048,8.547041,39.31166,-0.0001076268,34.40719
