x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
-9.51009,-5.340576E-05,13.08952,0.09510852,9.185791E-05,-0.1309103,-9.510566,0,13.09017
-9.484146,-8.392334E-05,13.08823,5.11745,0.0001837158,-0.1616859,-8.910566,0,13.09017
-9.055559,-9.918213E-05,13.07449,8.112776,0.0003157616,-0.1900215,-4.626254,0,13.09017
-8.737413,-0.0001220703,13.06958,21.37956,0.0004248428,-0.1799261,-3.369707,0,13.09017
-8.42948,-0.0001373291,13.06638,28.7862,0.0005683709,-0.1860838,-4.086203,-1.72057E-05,13.09017
-8.074749,-0.0001602173,13.06334,31.00746,0.0006545406,-0.193671,-4.697039,-3.190601E-05,13.09017
-7.592249,-0.0001831055,13.05966,32.63574,0.000769769,-0.1993521,-5.379008,-5.333892E-05,13.09017
-7.168743,-0.0002059937,13.05666,32.94098,0.0008709977,-0.2008193,-5.90501,-7.629453E-05,13.09017
-6.731249,-0.0002288818,13.05369,33.01713,0.000968807,-0.2015401,-6.402728,-0.0001106971,13.09017
-6.280384,-0.0002365112,13.05071,32.42284,0.001032282,-0.2001138,-5.917634,-0.000110589,13.09017
-5.644209,-0.00025177,13.04666,34.03424,0.001144781,-0.1964312,-5.268938,-0.0001104445,13.09017
-4.943123,-0.0002593994,13.04242,35.60321,0.001286177,-0.1872715,-4.567838,-0.0001102883,13.09017
-4.383881,-0.0002746582,13.03926,36.17474,0.001386056,-0.1686396,-4.008587,-0.0001101637,13.09017
-3.837944,-0.0002822876,13.03642,36.16924,0.001493521,-0.1472021,-3.462644,-0.0001100421,13.09017
-3.381393,-0.0002975464,13.03428,36.16388,0.001586076,-0.1250595,-3.006089,-0.0001099404,13.09017
-2.789368,-0.0003051758,13.03181,36.1594,0.001703746,-0.1036464,-2.414057,-0.0001098085,13.09017
-2.309658,-0.0003128052,13.03008,36.15356,0.00180609,-0.08044688,-1.934345,-0.0001097016,13.09017
-1.642828,-0.0003128052,13.02805,36.14884,0.001910119,-0.05848008,-1.267511,-0.0001095531,13.09017
-0.8206501,-0.0003051758,13.02603,36.14224,0.001992959,-0.03519867,-0.4453308,-0.0001093699,13.09017
-0.3528843,-0.0003128052,13.02517,36.13407,0.002049104,-0.01135142,0.022435,-0.0001092657,13.09017
0.1930981,-0.0003128052,13.0245,36.12944,0.002141885,0.009600505,0.5684174,-0.0001091441,13.09017
0.6424255,-0.0003204346,13.02421,36.124,0.002213969,0.02970144,1.017746,-0.000109044,13.09017
1.18646,-0.0003128052,13.02417,36.11953,0.002305626,0.04825534,1.561781,-0.0001089228,13.09017
1.834083,-0.0002975464,13.02448,36.1141,0.002353691,0.06540041,2.209403,-0.0001087785,13.09017
2.386782,-0.000289917,13.02502,36.10762,0.002370134,0.08071364,2.762102,-0.0001086554,13.09017
2.990879,-0.0002822876,13.02589,36.10208,0.002395747,0.09431101,3.3662,-0.0001085208,13.09017
3.567154,-0.0002746582,13.02696,36.09602,0.002413766,0.1057974,3.942476,-0.0001083924,13.09017
4.144518,-0.0002670288,13.02826,36.09024,0.002424527,0.1153611,4.519841,-0.0001082638,13.09017
4.638709,-0.0002670288,13.02953,36.08445,0.002428395,0.1228726,5.014034,-0.0001081537,13.09017
5.323807,-0.00025177,13.03149,36.07949,0.002448612,0.1289763,5.699136,-0.0001080011,13.09017
5.977024,-0.0002288818,13.03352,36.07262,0.002422224,0.1316245,6.352356,-0.0001078555,13.09017
6.439484,-0.0002288818,13.03502,36.06608,0.002361219,0.1322774,6.814818,-0.0001077525,13.09017
7.104211,-0.000213623,13.03726,36.06145,0.002352434,0.1327242,7.47955,-0.0001076044,13.09017
7.580069,-0.000213623,13.0389,36.05481,0.002298439,0.1296314,7.955411,-0.0001074984,13.09017
8.231272,-0.0001983643,13.04115,36.05005,0.002279935,0.1265755,8.606618,-0.0001073533,13.09017
9.085025,-0.0001678467,13.04408,36.04354,0.002216673,0.1204211,9.460376,-0.0001071631,13.09017
9.668825,-0.0001525879,13.04603,36.03503,0.002097741,0.110586,10.04418,-0.0001070331,13.09017
10.36198,-0.0001449585,13.04823,36.02921,0.002004283,0.10167,10.73734,-0.0001068787,13.09017
10.92225,-0.0001449585,13.04991,36.0223,0.001925401,0.09073018,11.29761,-0.0001067538,13.09017
11.41406,-0.0001449585,13.05128,36.01672,0.001866832,0.08000597,11.78942,-0.0001066443,13.09017
12.09624,-0.0001373291,13.053,36.01183,0.001811199,0.06929536,11.11266,-0.0001277352,13.00433
12.75864,-0.0001220703,13.05315,31.92821,0.001671814,-0.2006615,10.45494,-0.0001442569,12.92574
13.24841,-0.0001220703,13.05114,27.9613,0.001557782,-0.5061319,9.961009,-0.0001541395,12.86041
13.71134,-0.0001220703,13.04627,24.49564,0.001511799,-0.8242719,10.45202,-0.0001567282,12.88735
14.14381,-0.0001296997,13.03909,23.32659,0.001480286,-0.9044692,10.93154,-0.0001569865,12.91477
14.59635,-0.0001220703,13.02901,22.23462,0.001476788,-0.9523846,11.45685,-0.0001567479,12.93809
15.13043,-0.0001144409,13.0144,21.25386,0.001434398,-0.9779429,12.10613,-0.0001565354,12.9383
15.65379,-0.0001144409,12.99744,20.45301,0.001386368,-1.034091,12.77082,-0.0001563179,12.93851
16.07112,-0.0001144409,12.98195,19.81572,0.001355736,-1.072043,13.3231,-0.0001561372,12.93868
16.53838,-0.0001068115,12.96253,19.26502,0.001325156,-1.101572,13.96556,-0.000155927,12.93889
16.91101,-0.0001068115,12.94563,18.93478,0.001271837,-1.107419,14.49542,-0.0001557536,12.93905
17.33681,-0.0001068115,12.92497,18.68179,0.001235787,-1.10619,15.11875,-0.0001555496,12.93925
17.89895,-9.155273E-05,12.89648,18.66612,0.00119996,-1.080705,15.96041,-0.0001552742,12.93952
18.21904,-9.918213E-05,12.88004,19.04218,0.00111857,-1.015734,16.44568,-0.0001551154,12.93967
18.54664,-0.0001068115,12.86333,19.28587,0.001094449,-0.9657665,16.94551,-0.0001549519,12.93983
18.88902,-0.0001144409,12.8463,19.67372,0.001076202,-0.9024509,17.46781,-0.000154781,12.94
19.22958,-0.0001220703,12.83013,20.21286,0.001063841,-0.8254755,17.98376,-0.0001546121,12.94016
19.67491,-0.0001296997,12.81039,20.87248,0.001057343,-0.738165,18.64943,-0.0001543943,12.94037
20.06594,-0.0001373291,12.79468,21.79661,0.00105686,-0.6276735,19.22163,-0.0001542071,12.94056
20.51655,-0.0001449585,12.77871,22.76791,0.001062189,-0.5143619,19.86328,-0.0001539971,12.94076
20.87176,-0.0001525879,12.768,23.90313,0.001073468,-0.3882662,20.35262,-0.000153837,12.94091
21.26744,-0.0001602173,12.7582,25.01072,0.001090496,-0.2659675,20.87819,-0.0001536651,12.94108
21.639,-0.0001754761,12.75102,26.20493,0.001113422,-0.1382132,21.35272,-0.0001535098,12.94123
22.19512,-0.0001831055,12.74323,27.41502,0.001165131,-0.01088747,22.03449,-0.0001532867,12.94145
