x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
0,-6.103516E-05,4.999748,0,9.185791E-05,-0.05,0,0,5
0.02499962,-9.155273E-05,4.999252,5,0.0002066803,-0.06174217,0.6,0,5
0.3698387,-0.0001068115,4.994926,7.974751,0.0003444671,-0.07256002,4.129353,0,5
0.6051588,-0.0001296997,4.993401,19.20603,0.0004592895,-0.07147653,5.137881,0,5
0.8740206,-0.0001525879,4.99218,25.59201,0.0006085587,-0.07556579,4.445409,-2.090944E-05,5
1.310247,-0.0001678467,4.990509,27.35336,0.0007123228,-0.07942684,3.605127,-4.60424E-05,4.999999
1.733285,-0.0001831055,4.989029,27.44582,0.0007819931,-0.08101475,2.92068,-7.300111E-05,4.999999
2.200329,-0.0001983643,4.987465,27.08702,0.0008388188,-0.08191984,2.243097,-0.0001143313,4.999998
2.597075,-0.000213623,4.98616,25.78469,0.0008437932,-0.0814589,2.785224,-0.0001142068,4.999998
2.980934,-0.0002288818,4.98494,27.49344,0.0009536163,-0.08060075,3.278625,-0.0001140934,4.999998
3.353799,-0.0002441406,4.983803,29.20284,0.001074982,-0.07901347,3.729573,-0.0001139899,4.999998
3.847309,-0.0002593994,4.982384,30.89918,0.001207885,-0.07676022,4.291896,-0.0001138607,4.999998
4.45466,-0.0002670288,4.980751,32.62413,0.001352425,-0.07280186,4.944901,-0.0001137107,4.999998
5.0298,-0.0002746582,4.979324,34.32884,0.001485642,-0.06713264,5.529606,-0.0001135764,4.999998
5.613821,-0.0002822876,4.978012,35.95833,0.001624665,-0.06085487,6.113628,-0.0001134422,4.999998
6.076221,-0.000289917,4.977081,36.44321,0.001724116,-0.05132436,6.57603,-0.000113336,4.999998
6.674273,-0.000289917,4.976036,36.43861,0.001806349,-0.04124457,7.174083,-0.0001131987,4.999998
7.162097,-0.0002975464,4.975311,36.43264,0.001868279,-0.03052837,7.661907,-0.0001130866,4.999998
7.836157,-0.0002975464,4.974487,36.42778,0.00195013,-0.02041781,8.335968,-0.0001129318,4.999998
8.452044,-0.0002975464,4.9739,36.42105,0.00201175,-0.00989588,8.951856,-0.0001127903,4.999998
9.012087,-0.000289917,4.973526,36.4149,0.002070412,9.229779E-05,9.511899,-0.0001126617,4.999998
9.601698,-0.000289917,4.973289,36.40931,0.002103289,0.0094386,10.10151,-0.0001125263,4.999998
10.19606,-0.000289917,4.973206,36.40342,0.002151051,0.01822087,10.69588,-0.0001123897,4.999998
10.8599,-0.0002822876,4.973274,36.39748,0.002196589,0.02630341,11.35971,-0.0001122373,4.999998
11.51429,-0.0002746582,4.973495,36.39083,0.002217101,0.03359011,12.01411,-0.000112087,4.999998
11.96441,-0.0002822876,4.973747,36.38429,0.002230179,0.03998974,12.46422,-0.0001119836,4.999998
12.522,-0.0002822876,4.974174,36.37979,0.002281992,0.04578302,13.02182,-0.0001118555,4.999998
13.02555,-0.0002822876,4.974648,36.37421,0.002315063,0.05053813,13.52537,-0.0001117398,4.999998
13.75518,-0.0002670288,4.975449,36.36917,0.002346619,0.05454646,14.25499,-0.0001115722,4.999998
