x轴坐标,y轴坐标,z轴坐标,x轴速度,y轴速度,z轴速度,x轴理想位置坐标,y轴理想位置坐标,z轴理想位置坐标
8.659821,-6.103516E-05,-4.999748,-0.08660253,9.185791E-05,0.04999857,8.660254,0,-5
8.683961,-9.155273E-05,-4.999252,4.89305,0.0002066803,0.06174038,9.260254,0,-5
9.03506,-0.0001068115,-4.994751,7.849064,0.0003444671,0.07255787,12.93343,0,-5
9.277202,-0.0001296997,-4.993187,19.4723,0.0004592895,0.07094584,13.96841,0,-5
9.575579,-0.0001525879,-4.991852,25.99959,0.0006085587,0.07478788,13.2075,-2.248115E-05,-4.999891
10.12264,-0.0001678467,-4.989792,27.56396,0.0007076076,0.07846951,12.1631,-5.30526E-05,-4.999731
10.68981,-0.0001831055,-4.987823,26.73411,0.0007597838,0.07920121,11.24181,-8.842481E-05,-4.999538
11.16623,-0.0001983643,-4.986214,25.01806,0.0007861113,0.07887474,10.53095,-0.000134732,-5.000107
11.46424,-0.0002212524,-4.985214,23.08875,0.0007645869,0.07600492,10.9597,-0.0001346161,-5.000107
11.90074,-0.0002365112,-4.98378,24.22361,0.0008820483,0.07504191,11.5633,-0.0001344528,-5.000107
12.24303,-0.00025177,-4.982704,25.56348,0.0009939974,0.07201926,12.01642,-0.0001343302,-5.000107
12.773,-0.0002670288,-4.981125,26.85973,0.001117429,0.06899554,12.68695,-0.0001341489,-5.000107
13.29644,-0.0002746582,-4.979675,28.32553,0.001252611,0.06364667,13.31849,-0.0001339781,-5.000107
13.71531,-0.000289917,-4.978615,29.79813,0.001376416,0.05749978,13.79998,-0.0001338478,-5.000106
14.13629,-0.0003051758,-4.977654,31.2151,0.001528932,0.05143469,14.26128,-0.0001337231,-5.000106
14.55366,-0.0003204346,-4.976807,32.61108,0.001693012,0.04486906,14.69777,-0.000133605,-5.000106
15.03328,-0.000328064,-4.97596,33.97268,0.001868648,0.03792451,15.17739,-0.0001334753,-5.000106
15.64708,-0.000328064,-4.975029,35.28197,0.002032558,0.03032925,15.7912,-0.0001333093,-5.000106
16.22828,-0.000328064,-4.974304,35.27585,0.002112686,0.0198617,16.3724,-0.000133152,-5.000106
16.65572,-0.0003356934,-4.973892,35.27005,0.002189628,0.00966977,16.79984,-0.0001330364,-5.000106
17.12031,-0.0003356934,-4.973564,35.26579,0.00228638,0.0002346113,17.26443,-0.0001329108,-5.000106
